shop_id,shop_name,category,address,longitude,latitude,tel,rating,cost,business_area,type
22,园里火锅(仁和新城店),火锅店,府城大道西段505号仁和新城C座三层,104.051214,30.58728,028-85939393;028-85980398,4.8,145.00,石羊场,餐饮服务;中餐厅;火锅店
23,川西坝子火锅(清江东路3.0直营店),四川菜(川菜),清江东路8号3栋1楼4648号,104.036074,30.668284,028-87799517,4.7,88.00,白果邻里,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜)
24,冯校长老火锅(太古里总店),火锅店,东大街下东大街段41号,104.080162,30.651716,028-86702577;13541240135,4.6,113.00,大慈寺,餐饮服务;中餐厅;火锅店
25,五里关火锅(建设北路店),餐饮相关,八里小区双建路1号(建设北路三段口),104.115973,30.678475,19113416275,4.8,108.00,府青路,餐饮服务;餐饮相关场所;餐饮相关
26,天星正源火锅(蜀汉路店),火锅店,蜀通西街18号附20号,104.026957,30.685565,18180800536;18180800538,4.7,95.00,金沙,餐饮服务;中餐厅;火锅店
27,海底捞火锅(成华区招商花园城店),火锅店,成华大道杉板桥路669号招商花园城5楼5008-5009号,104.134397,30.671693,028-62004260;028-68785008,4.7,120.00,[],餐饮服务;中餐厅;火锅店
28,园里火锅(万科天荟店),火锅店,杉板桥路369号天荟万科城市广场1栋6单元3层,104.124959,30.667494,028-62619966;028-62619988,4.7,145.00,建设路,餐饮服务;中餐厅;火锅店
29,川西坝子火锅(万科天荟3.0直营店),四川菜(川菜),成华大道杉板桥路371号,104.124828,30.666813,028-81257517,4.7,98.00,建设路,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜)
30,于屿城火锅(望平街店),火锅店,望平街116号天祥大厦附3-4,104.09128,30.656114,028-60717715,4.7,76.00,猛追湾,餐饮服务;中餐厅;火锅店
31,小龙坎火锅全球总店,火锅店,东大街188号时代华章2F,104.078696,30.651844,028-61999499;18980037530,4.6,98.00,春熙路,餐饮服务;中餐厅;火锅店
32,蜀镇老火锅(双楠直营店),火锅店,武侯大道双楠段209号附5号(天合酒店旁),104.018896,30.639579,028-85373151,4.8,90.00,双楠,餐饮服务;中餐厅;火锅店
33,海底捞火锅(大悦城店),火锅店,大悦路518号大悦城购物中心2栋5层1号及2栋6层1号,104.010363,30.626547,028-61111660;028-61111880,4.7,120.00,双楠,餐饮服务;中餐厅;火锅店
34,味之绝美蛙鱼火锅(科华店),中餐厅,跳伞塔街道科华北路40号附3号,104.076192,30.628663,028-87443444,4.7,59.00,跳伞塔,餐饮服务;中餐厅;中餐厅
35,正南齐北重庆老火锅(东门市井直营店),火锅店,菱窠西路9号(狮子山地铁站D口步行200米),104.125003,30.618134,17302836983;18180497685,4.7,112.00,[],餐饮服务;中餐厅;火锅店
36,川西坝子火锅(华阳2.0直营店),四川菜(川菜),正北下街115-135号,104.063823,30.515402,028-65751517,4.7,106.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜)
37,萍姐火锅·公路夜市(成都总店),火锅店,玉双路100号,104.09374,30.65622,19113579968,4.7,72.00,猛追湾,餐饮服务;中餐厅;火锅店
38,曹家巷老火锅(曹家巷店),火锅店,曹家巷23号附8号(红星桥地铁站F口步行340米),104.08594,30.673786,19183990028,4.7,85.00,梁家巷,餐饮服务;中餐厅;火锅店
39,海底捞火锅(远大购物中心店),火锅店,天府大道南段255号A-L509/A-L510/A-L511号商铺,104.070921,30.530199,028-86700096;028-86700097,4.7,120.00,四川天府新区,餐饮服务;中餐厅;火锅店
40,园里火锅(高新远大店),火锅店,天府大道南段321号远大购物中心B馆三层/四层(3门上三楼),104.070936,30.528378,028-89111611;028-89111711,4.7,145.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
41,蜀九香火锅(百花店),火锅店,草堂街道一环路西一段160号(百花潭公园对面),104.040686,30.656261,028-87016811;15008225507,4.7,93.00,草堂,餐饮服务;中餐厅;火锅店
42,正南齐北重庆老火锅(光华村直营店),火锅店,光华村南街42号1层,104.013418,30.662782,17764983368,4.8,107.00,青羊大道,餐饮服务;中餐厅;火锅店
43,無名老火锅(动物园总店),火锅店,东丽街51号首创光和城二期,104.116261,30.709414,15281839930,4.8,70.00,青龙,餐饮服务;中餐厅;火锅店
44,言青山成都火锅(武侯祠店),火锅店,浆洗街街道通祠路39号1栋1层1号,104.05553,30.6474,19113194173,4.7,88.00,汪家拐,餐饮服务;中餐厅;火锅店
45,海底捞火锅(金牛凯德店),火锅店,交大路183号凯德广场二期5层25、26号,104.044295,30.703032,028-65520402;028-81146525,4.7,120.00,九里堤,餐饮服务;中餐厅;火锅店
46,承裕两口子原味老火锅(迎宾大道店),火锅店,迎宾大道318号1层,104.006783,30.710056,028-83350366;19950101929,4.7,88.00,金泉,餐饮服务;中餐厅;火锅店
47,荣胜和火锅(精品自助直营店),火锅店,郫都区犀池三街90-114号,103.96366,30.754426,028-87855258,4.6,70.00,犀浦,餐饮服务;中餐厅;火锅店
48,正南齊北重庆老火锅(高新直营店),火锅店,高新区天长路91号,104.076075,30.593402,19048056338,4.8,87.00,柳江,餐饮服务;中餐厅;火锅店
49,泸州酸菜豆花火锅(共和路店),火锅店,共和村8号附4号,104.084904,30.635686,13980626185,4.8,52.00,磨子桥,餐饮服务;中餐厅;火锅店
50,骆孃孃老火锅(太古里店),餐饮相关,天仙桥北路1号1栋1层2号二层(东门码头对面),104.085517,30.650325,18116594957,4.7,114.00,春熙路,餐饮服务;餐饮相关场所;餐饮相关
51,海底捞火锅(上城天街店),火锅店,成华西街299号上城天街4楼0708号商铺,104.072076,30.685338,028-81255511;028-81255522,4.6,120.00,江汉路,餐饮服务;中餐厅;火锅店
52,蜀大侠火锅(总府路全国总店),火锅店,商业街1号2层,104.078805,30.658251,15228806623;17882395382,4.6,92.00,春熙路,餐饮服务;中餐厅;火锅店
53,巴蜀大将火锅(春熙店),火锅店,城守街88号(春熙路地铁站A口步行250米),104.077943,30.65446,028-83378377,4.6,70.00,东大街,餐饮服务;中餐厅;火锅店
54,蜀九香火锅(金沙店),火锅店,金阳路125号金沙西园2期,104.003832,30.679918,028-81133330;18381069765,4.7,94.00,清江,餐饮服务;中餐厅;火锅店
55,喜福老火锅(春熙太古里店),购物相关场所,总府路1号4楼(春熙路地铁站C口步行410米),104.081198,30.657124,028-67560155,4.6,80.00,春熙路,购物服务;购物相关场所;购物相关场所
56,五里关火锅(成都小关庙店),火锅店,小关庙街45号附12号,104.083203,30.66918,19950176195,4.7,104.00,太升路,餐饮服务;中餐厅;火锅店
57,海底捞火锅(阳光新业店),火锅店,一环路东五段87号阳光新业中心6F,104.091103,30.642729,028-62508981,4.7,120.00,牛王庙,餐饮服务;中餐厅;火锅店
58,蓉城江湖老火锅(春熙路香槟店),火锅店,东大街下东大街段1号,104.079223,30.652553,19938847089,4.6,66.00,东大街,餐饮服务;中餐厅;火锅店
59,于屿城火锅(万象城店),火锅店,双成路158号附212号,104.115349,30.645729,028-82770029,4.7,82.00,万年场,餐饮服务;中餐厅;火锅店
60,六公里老火锅(人北店),火锅店,五丁路6号-地铁人民北路站步行724米,104.06581,30.683361,18080171301,4.7,70.00,江汉路,餐饮服务;中餐厅;火锅店
61,秦三老火锅(宽窄巷子直营店),火锅店,蜀华街68号1层(通惠门地铁站C口步行390米),104.051129,30.659953,18011372858,4.6,70.00,小南街,餐饮服务;中餐厅;火锅店
62,川西坝子火锅(羊犀2.0直营店),火锅店,金牛区高新技术产业园区兴科中路7号附20号、21号、22号、23号、24号,103.991318,30.717872,028-87733517,4.7,102.00,金泉,餐饮服务;中餐厅;火锅店
63,海底捞火锅(龙湖时代天街店),火锅店,合作路89号龙湖时代天街购物中心4层海底捞,103.922661,30.752091,028-81255200;028-81255201,4.7,120.00,龙湖时代天街,餐饮服务;中餐厅;火锅店
64,罗二火锅(金牛店),火锅店,子云路208号,104.032501,30.701373,13688394168;18466720727,4.7,98.00,营门口,餐饮服务;中餐厅;火锅店
65,于屿城火锅(锦华万达店),火锅店,二环路东五段132号附5号,104.095497,30.622607,028-85936637,4.7,76.00,龙舟路,餐饮服务;中餐厅;火锅店
66,吼堂老火锅(太古里总店),火锅店,东大街下东大街166号(近义学巷口、晶融汇对面),104.081594,30.650575,028-62103858,4.7,114.00,东大街,餐饮服务;中餐厅;火锅店
67,江北老灶火锅(川师大店),火锅店,静安路a1-37号万科城市花园西南2门,104.11517,30.611135,028-81022422;17323013757,4.7,103.00,四川师大站,餐饮服务;中餐厅;火锅店
68,五里关火锅(银泰城店),火锅店,吉泰六路205号,104.057547,30.539466,18161284202,4.7,103.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
69,海底捞火锅(凯德天府店),火锅店,天仁路388号凯德天府6层1718号,104.070101,30.602944,028-65520398;028-85312736,4.6,120.00,桂溪,餐饮服务;中餐厅;火锅店
70,蜀大侠火锅(宽窄巷子店),火锅店,井巷子46号附3号(宽窄巷子地铁站B口步行120米),104.051466,30.664129,028-69039039,4.6,88.00,长顺街,餐饮服务;中餐厅;火锅店
71,陈大满老火锅,火锅店,净居寺路363号(净居寺地铁站D口步行320米),104.107436,30.620524,13541217719,4.7,84.00,净居寺,餐饮服务;中餐厅;火锅店
72,慢搅粥底火锅(玉林店),火锅店,玉林西路109号(芳草街地铁站B口步行470米),104.054201,30.629509,028-85658299,4.7,97.00,玉林西路商圈,餐饮服务;中餐厅;火锅店
73,龙森园火锅(中国华商店),火锅店,交子大道33号中国华商金融中心T1座3楼,104.062902,30.581455,19828269484,4.7,230.00,石羊场,餐饮服务;中餐厅;火锅店
74,锦城印象火锅酒楼(彩虹店),火锅店,武侯祠大街19号附80号,104.056481,30.64735,17311324191;18081109422,4.7,125.00,[],餐饮服务;中餐厅;火锅店
75,海底捞火锅(湾悦城店),火锅店,天府大道2608号MKL生活美学中心L2层2012-2017号商铺,104.069684,30.478873,028-65520407;028-89166558,4.7,120.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
76,富贵原味火锅,火锅店,蜀汉路89号1单元1层107号,104.02839,30.683947,19983170778,4.6,69.00,金沙,餐饮服务;中餐厅;火锅店
77,重庆何乌鱼鲜鱼火锅(新街里总店),火锅店,禹洲山河峯荟(石羊立交地铁站C口步行230米),104.052372,30.593596,13880733943,4.7,73.00,石羊场,餐饮服务;中餐厅;火锅店
78,走川火锅饭店·中国火锅城,火锅店,三圣街66号1栋1层(三圣街东大街交叉口东南角距春熙路地铁E口200米),104.080436,30.650443,19081322975,4.7,80.00,东大街,餐饮服务;中餐厅;火锅店
79,江北老灶火锅(文殊院店),火锅店,金丝街22号附2号(文殊院地铁站K口步行280米),104.071798,30.672594,028-87468148;18123359350,4.6,89.00,德盛路,餐饮服务;中餐厅;火锅店
80,海底捞火锅(王府井店),火锅店,科华中路2号王府井购物中心4层L04009号,104.075589,30.619066,028-61111020;028-61111030,4.6,120.00,桂溪,餐饮服务;中餐厅;火锅店
81,锦城印象火锅(玉林店),火锅店,倪家桥路9号附7号,104.059144,30.624951,17311324192;18980053780,4.7,146.00,倪家桥,餐饮服务;中餐厅;火锅店
82,蜀大侠火锅(春熙路旗舰店),火锅店,上东大街6号春南商场2层(西南书城),104.076018,30.654001,028-87666679,4.6,89.00,东大街,餐饮服务;中餐厅;火锅店
83,皇城老妈火锅(琴台店),火锅店,琴台路106号(七宝楼旁边),104.045714,30.659595,028-86148510,4.7,140.00,小南街,餐饮服务;中餐厅;火锅店
84,万杰老灶火锅(春熙路店),火锅店,太升南路康庄街(太升南路地铁站C口步行270米),104.079997,30.665182,15680766018,4.6,84.00,太升路,餐饮服务;中餐厅;火锅店
85,承裕两口子原味老火锅(天廊店),火锅店,上沙河铺路60号天廊广场第S1层的SO5,104.120964,30.628814,028-80867266,4.7,76.00,五桂桥,餐饮服务;中餐厅;火锅店
86,海底捞火锅(卓锦曼购店),火锅店,枫树街2号卓锦曼购L4层0201-0202,104.136058,30.595968,028-65520403;028-68785001,4.7,120.00,成龙路,餐饮服务;中餐厅;火锅店
87,椒香城门口老火锅(中航店),火锅店,蜀锦路316号(孵化园地铁站出入口步行470米),104.06145,30.577566,028-85150178,4.6,86.00,石羊场,餐饮服务;中餐厅;火锅店
88,西妹火锅(洞子口店),火锅店,天悦中心北三环路二段588号附4号,104.056999,30.724411,17323284389,4.7,62.00,沙河源,餐饮服务;中餐厅;火锅店
89,明二天火锅(总店),火锅店,牛沙路86号,104.108275,30.627275,13540026669;13608008427,4.7,80.00,净居寺,餐饮服务;中餐厅;火锅店
90,锦燚火锅,火锅店,万象南路669号1栋3层,104.049748,30.586394,19048093949,4.7,113.00,石羊场,餐饮服务;中餐厅;火锅店
91,胖千金火锅食堂(犀浦店),餐饮相关,学园路285号1栋1层1号,103.979832,30.755505,19141379335,4.7,78.00,犀浦,餐饮服务;餐饮相关场所;餐饮相关
92,海底捞火锅(吾悦广场店),火锅店,东安街道桃都大道888号吾悦广场4楼4012室,104.239938,30.577575,028-62004269;028-68785006,4.7,120.00,天府新区,餐饮服务;中餐厅;火锅店
93,味当家鱼头火锅(紫荆店),火锅店,神仙树北路6号1栋1层c区,104.049126,30.623337,028-69636368;13550217200,4.7,147.00,紫荆,餐饮服务;中餐厅;火锅店
94,蜀大侠火锅(中坝店),火锅店,光华北三路178号附202号,103.964419,30.673288,028-86660858,4.7,87.00,中坝,餐饮服务;中餐厅;火锅店
95,海底捞火锅(鹏瑞利店),火锅店,鹏瑞利青羊广场3楼13号、14号,103.96245,30.670987,028-65778800;028-65779900,4.6,120.00,鹏瑞利青羊广场,餐饮服务;中餐厅;火锅店
96,海底捞火锅(七一国际广场店),火锅店,新都街道金光路2号附423号七一国际广场4层4008B号,104.171289,30.822146,028-65520405;028-86202292,4.7,120.00,[],餐饮服务;中餐厅;火锅店
97,海底捞火锅(新光天地店),火锅店,光华大道三段1599号新光天地A区7层07A016号,103.860092,30.684342,028-62004265;028-67560805,4.6,120.00,凤溪大道,餐饮服务;中餐厅;火锅店
98,海底捞火锅(双流城南优品道店),火锅店,东升镇白衣上街二段177号城南优品道广场2-3层B244S205B315-316号,103.911892,30.595754,028-62612118;028-62612119,4.7,120.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
99,海底捞火锅(华联空港店),火锅店,锦华路二段北京华联成都购物中心1栋4层1号,103.987359,30.571513,028-61050908;028-61050909,4.6,120.00,白家,餐饮服务;中餐厅;火锅店
100,归井老火锅(南门店),火锅店,天和东街81号,104.075875,30.599625,17882311677,4.7,95.00,桂溪,餐饮服务;中餐厅;火锅店
101,荣胜和鲜货火锅(傲城直营店),火锅店,犀浦街道校园路东段131号附1号2层,103.990397,30.752182,028-81379399,4.7,89.00,犀浦,餐饮服务;中餐厅;火锅店
102,井口火火锅,火锅店,双锦路4-附9-10号,104.017842,30.673182,18981977634,4.7,80.00,府南,餐饮服务;中餐厅;火锅店
103,海底捞火锅(圣沅红星城市广场店),火锅店,国宁东路919号爱琴海购物公园5楼,103.991068,30.73737,028-81255180;028-81255181,4.6,120.00,[],餐饮服务;中餐厅;火锅店
104,五里关火锅(五里墩店),火锅店,二环路西三段119号1层6号,104.036189,30.686001,17340065879,4.7,84.00,营门口,餐饮服务;中餐厅;火锅店
105,舒家大院老火锅,火锅店,雄州大道北段287号三楼,104.53252,30.425035,028-27523888;18140482612,4.7,80.00,[],餐饮服务;中餐厅;火锅店
106,东部蜀韵火锅(天府机场旗舰店),餐饮相关,石板凳街道东部新区凌腾路10号天府东方航空中心(近天府机场航站楼),104.460609,30.331824,18180556533,4.7,80.00,东部新区,餐饮服务;餐饮相关场所;餐饮相关
107,堂口原味老火锅(新街里直营店),火锅店,府城大道西段88号新街里6 F1层,104.055911,30.590823,13678053140,4.8,82.00,石羊场,餐饮服务;中餐厅;火锅店
108,飘香火锅(玉林西路店),火锅店,玉林西路34号附1号,104.055931,30.629255,028-85597330,4.7,116.00,玉林西路商圈,餐饮服务;中餐厅;火锅店
109,荣胜和鲜货火锅(云集直营店),火锅店,柳城街办政通西路299号5栋附201-202号(丽阳星座2号门东北60米),103.847589,30.685992,028-82771158,4.7,82.00,凤溪大道,餐饮服务;中餐厅;火锅店
110,街檐口火锅馆(天府广场店),火锅店,顺城大街286号,104.071042,30.66537,028-87329467,4.6,63.00,春熙路,餐饮服务;中餐厅;火锅店
111,蓉城江湖老火锅(春熙路总店),火锅店,隆兴街4号(地铁市二医院站A口),104.080257,30.661558,028-86726326;13688132023;17745021156,4.6,64.00,红星路,餐饮服务;中餐厅;火锅店
112,小龙坎火锅(春熙太古里店),火锅店,东大街下东大街段36号蓝光·郁金香花园广场2层,104.080299,30.651029,18180824198,4.6,85.00,东大街,餐饮服务;中餐厅;火锅店
113,三只耳火锅(倪家桥店),火锅店,倪家桥路10号附1号(倪家桥地铁站E口步行320米),104.060883,30.624702,028-85530188;028-85579588,4.7,97.00,倪家桥,餐饮服务;中餐厅;火锅店
114,玛歌庄园火锅(五龙山店),火锅店,三河街道叠秀路1676号,104.170096,30.761752,028-87770077;17381869903,4.7,117.00,[],餐饮服务;中餐厅;火锅店
115,巴蜀大将火锅(人民公园店),火锅店,东城根南街25号(天府广场地铁站西1北口步行370米),104.060479,30.657879,028-64795858,4.5,70.00,汪家拐,餐饮服务;中餐厅;火锅店
116,月满大江千层肚火锅(武侯祠店),火锅店,通祠路8号如家酒店1楼(近彩虹桥),104.055829,30.647059,028-85599777,4.6,96.00,小天竺,餐饮服务;中餐厅;火锅店
117,五里关火锅(麓坊店),火锅店,绵州路与邻坊路交叉口东北180米,104.056914,30.465779,19938029986,4.8,110.00,天府新区,餐饮服务;中餐厅;火锅店
118,蓉界火锅(天府新谷店),火锅店,锦晖西二街与成汉南路交叉口东180米,104.056413,30.585764,028-87653210;18080963770,4.6,110.00,石羊场,餐饮服务;中餐厅;火锅店
119,于屿城火锅(曹家巷店),餐饮相关,内曹家巷6号,104.084395,30.674469,028-83389066,4.6,79.00,[],餐饮服务;餐饮相关场所;餐饮相关
120,大龙燚火锅(太古里店),火锅店,东大街下东大街段166号二层,104.080731,30.650983,028-61190606,4.5,87.00,东大街,餐饮服务;中餐厅;火锅店
121,大龙燚火锅(科华总店),火锅店,科院路5号(川大望江校区地铁站C口步行320米),104.07182,30.625961,028-85210521,4.7,87.00,磨子桥,餐饮服务;中餐厅;火锅店
122,巴蜀大将火锅(武侯祠店),火锅店,浆洗街通祠路28号,104.054728,30.646456,028-61100066,4.6,70.00,小天竺,餐饮服务;中餐厅;火锅店
123,蜀大侠火锅(东大路店),火锅店,环球汇广场318号1栋一单元302,104.111343,30.633539,028-86667760,4.6,90.00,海椒市,餐饮服务;中餐厅;火锅店
124,六公里老火锅(光华村店),火锅店,光华村街60号地铁东坡路站710m,104.010704,30.664581,13658008818,4.7,70.00,光华,餐饮服务;中餐厅;火锅店
125,玉林巷子口火锅总店,火锅店,蓝天路26号(芳草街地铁站D口步行400米),104.056174,30.62752,13982186680,4.7,86.00,玉林,餐饮服务;中餐厅;火锅店
126,慢搅粥底火锅(莲桂西路店),火锅店,莲桂西路48-附4号(顺江路地铁站C口步行430米),104.097119,30.635165,028-81299860,4.7,92.00,莲桂路,餐饮服务;中餐厅;火锅店
127,于屿城火锅(九眼桥店),火锅店,一环路东五段与东大街锦东路段交叉口西南100米,104.092571,30.64473,18030748768,4.7,81.00,牛王庙,餐饮服务;中餐厅;火锅店
128,三圣巷老火锅(太古里店),火锅店,正科甲巷48-附21号,104.07984,30.656394,19308198758,4.5,85.00,东大街,餐饮服务;中餐厅;火锅店
129,吴铭火锅(郫都区红光店),火锅店,广场路北一段金仪商贸中心C栋2层,103.950198,30.781498,028-87986578;18628288915;18783678937,4.7,59.00,红光,餐饮服务;中餐厅;火锅店
130,老夏老火锅(西安南路总店),火锅店,西安南路63号附5号(通惠门地铁站E口步行390米),104.046621,30.664966,028-66616886;18584822247,4.7,108.00,长顺街,餐饮服务;中餐厅;火锅店
131,正南齐北重庆老火锅(优品街直营店),火锅店,优品街79号光华优尚F1层,104.002016,30.66276,19008229883,4.7,120.00,青羊大道,餐饮服务;中餐厅;火锅店
132,海底捞火锅(旭海广场店),冷饮店,河东新区雄州大道路389号旭海时代广场4层A-4-1号,104.541563,30.406643,028-27212600;028-27212800,4.7,120.00,河东新区,餐饮服务;中餐厅;火锅店|餐饮服务;冷饮店;冷饮店
133,谢红英·老成都火锅,火锅店,新鸿南路77号14栋三单元14栋3单元1号,104.107872,30.658347,13688349816,4.6,83.00,双林路,餐饮服务;中餐厅;火锅店
134,天星正源火锅(华阳店),火锅店,益州大道南段240号,104.05643,30.529524,18180800556,4.7,94.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
135,五里关火锅(光华店),餐饮相关,青羊大道16号(东坡路地铁站C口步行290米),104.008282,30.663913,19950262116,4.7,100.00,青羊大道,餐饮服务;餐饮相关场所;餐饮相关
136,荣胜和鲜货火锅(红光西华直营店),火锅店,广场路红光金仪商贸中心A幢2层,103.949682,30.781132,028-87986618,4.7,70.00,红光,餐饮服务;中餐厅;火锅店
137,6毛牛杂火锅(九里堤长平街总店),火锅店,九里堤长平街60号,104.043204,30.708663,13594456666;13594491923,4.7,75.00,九里堤,餐饮服务;中餐厅;火锅店
138,蜀九香火锅(玉林店),火锅店,倪家桥路11-2号,104.058516,30.624942,028-85570362;15008225572,4.7,93.00,倪家桥,餐饮服务;中餐厅;火锅店
139,六公里老火锅(玉林店),火锅店,电信南街与小天北街交叉口东北120米,104.06154,30.63534,18123295588,4.6,68.00,小天竺,餐饮服务;中餐厅;火锅店
140,宽来火锅(南站公园店),餐饮相关,成汉北路100号,104.053843,30.603843,19130813202,4.7,115.00,桐梓林,餐饮服务;餐饮相关场所;餐饮相关
141,牛市坎火锅(马鞍北路旗舰店),火锅店,驷马桥社区马鞍北路32号一楼,104.087239,30.67756,028-81516582,4.7,85.00,梁家巷,餐饮服务;中餐厅;火锅店
142,荣胜和鲜货火锅(龙城红光里直营店),火锅店,红光街道银润北二路156号,103.94183,30.769188,028-81057886,4.6,86.00,红光,餐饮服务;中餐厅;火锅店
143,蜀镇老火锅(新北直营店),火锅店,创业路215号、217号、219号1层,104.036534,30.609145,028-85188668,4.7,104.00,[],餐饮服务;中餐厅;火锅店
144,荣胜和鲜货火锅(西郡英华直营店),火锅店,红光街道港华路553号,103.941549,30.789311,028-87856966,4.6,79.00,红光,餐饮服务;中餐厅;火锅店
145,园里火锅(天府大悦城店),火锅店,天府新区正兴街道兴康三街505号天府大悦城A馆L7层ll7-A-04、L7-a-05,104.08943,30.433474,028-81189588;028-81189688,4.7,145.00,四川天府新区成都直管区,餐饮服务;中餐厅;火锅店
146,喜临门火锅(春熙路店),火锅店,提督街48号,104.075297,30.659459,028-68362817;13730670342;15520744646,4.6,57.00,太升路,餐饮服务;中餐厅;火锅店
147,潮棠火锅(铁像寺水街店),火锅店,盛华北路116号铁像寺水街二期2栋5-6单元3层5-6号,104.051206,30.558287,028-87688988,4.7,114.00,天府新区,餐饮服务;中餐厅;火锅店
148,冯校长老火锅(天祥街直营二店),火锅店,天祥街26号,104.09253,30.657629,19108095129,4.7,105.00,猛追湾,餐饮服务;中餐厅;火锅店
149,三国义府火锅(武侯祠总店),火锅店,武侯祠大街113号附1号,104.052175,30.645753,028-85578798,4.7,110.00,[],餐饮服务;中餐厅;火锅店
150,曹家巷老火锅(芳草店),火锅店,超洋路13号(衣冠庙地铁站A口步行340米),104.04972,30.634098,19158822153,4.6,85.00,肖家河,餐饮服务;中餐厅;火锅店
151,龙幺妹老火锅(锦华万达店),火锅店,二环路东五段126号(东光地铁站A1口步行470米),104.096388,30.623442,028-84537337;18090819787,4.7,70.00,龙舟路,餐饮服务;中餐厅;火锅店
152,侃姐重庆火锅(宽窄巷子店),火锅店,西安南路111号附2号,104.048217,30.667587,15828202008,4.6,86.00,永陵路,餐饮服务;中餐厅;火锅店
