spot_id,spot_name,spot_level,poi_category,address,longitude,latitude,rating,ticket_price_min,opening_hours_json,description,travel_tips,cultural_context,avg_visit_hours,area_tag
11,文殊院,-,川西第一禅林，始建于隋朝，清代重建。寺内藏有玄奘法师顶骨舍利，是成都香火最旺的佛教寺院。,青羊区文殊院街66号,104.0740,30.6740,4.4,0,"{""open"":""8:00"",""close"":""17:00""}",川西第一禅林，始建于隋朝，清代重建。寺内藏有玄奘法师顶骨舍利，是成都香火最旺的佛教寺院。,免费入内；游览1-2小时；周边文殊坊小吃街可顺路逛；地铁1号线文殊院站。,文殊院始建于隋大业年间（605-618年），是长江流域四大禅院之一，玄奘顶骨舍利为镇寺之宝。,2.0,青羊区
12,青羊宫,3A,成都最古老的道观之一，被誉为川西第一道观。传说老子曾在此为尹喜传授道德经。,青羊区一环路西二段,104.0209,30.6642,4.2,10,"{""open"":""8:00"",""close"":""18:00""}",成都最古老的道观之一，被誉为川西第一道观。传说老子曾在此为尹喜传授道德经。,门票10元；游览1小时；与杜甫草堂步行15分钟；道教文化爱好者推荐。,青羊宫始建于周朝，现存建筑为清代重建，三清殿前铜羊为清代文物，是成都道教文化中心。,1.0,青羊区
13,望江楼公园,3A,纪念唐代女诗人薛涛的园林公园，有望江楼、薛涛井、吟诗楼等古迹。竹林品种多达200余种。,武侯区望江路30号,104.0752,30.6350,4.3,0,"{""open"":""全天""}",纪念唐代女诗人薛涛的园林公园，有望江楼、薛涛井、吟诗楼等古迹。竹林品种多达200余种。,公园免费文物区20元；游览1-2小时；薛涛井和望江楼必看；与四川大学相邻。,望江楼始建于明代，是纪念唐代女诗人薛涛的古迹，薛涛井是薛涛制笺取水之处。,2.0,武侯区
14,东郊记忆,4A,原成都红光电子管厂改造的文创园区，工业遗产与艺术融合。有音乐演出、展览、咖啡馆等业态。,成华区建设南支路4号,104.1550,30.6720,4.3,0,"{""open"":""全天""}",原成都红光电子管厂改造的文创园区，工业遗产与艺术融合。有音乐演出、展览、咖啡馆等业态。,免费全天开放；建议下午到晚上游览2-3小时；园区内适合拍照；地铁7号线东郊记忆站。,东郊记忆前身为国营红光电子管厂（1958年建厂），2011年改造为文化创意产业园。,3.0,成华区
15,成都博物馆,-,成都市最大的综合性博物馆，常设成都历史文化陈列、皮影木偶展等。建筑本身也是地标。,青羊区天府广场西侧,104.0660,30.6590,4.7,0,"{""open"":""9:00"",""close"":""17:00""}",成都市最大的综合性博物馆，常设成都历史文化陈列、皮影木偶展等。建筑本身也是地标。,免费需预约；周一闭馆；游览2-3小时；天府广场地铁直达；石犀牛和皮影展区必看。,成都博物馆新馆2016年开放，镇馆之宝为天府广场出土的石犀，距今约2000年。,3.0,青羊区
16,四川博物院,4A,西南地区最大的综合性博物馆，馆藏26万余件。常设张钊忠书画、巴蜀青铜器、汉代画像砖等展馆。,浣花南路一段251号,104.0228,30.6540,4.6,0,"{""open"":""9:00"",""close"":""17:00""}",西南地区最大的综合性博物馆，馆藏26万余件。常设张钊忠书画、巴蜀青铜器、汉代画像砖等展馆。,免费需预约；周一闭馆；游览2-3小时；与杜甫草堂车程10分钟。,四川博物院建于1941年，是西南地区建馆最早的博物馆，张大千临摹敦煌壁画为其镇馆之宝。,3.0,青羊区
17,黄龙溪古镇,4A,1700年历史的古镇，三县交界处，青石板老街、古寺庙、传统民俗保存完好。火龙节灯会为特色。,双流区黄龙溪镇,103.9770,30.4920,4.3,0,"{""open"":""全天""}",1700年历史的古镇，三县交界处，青石板老街、古寺庙、传统民俗保存完好。火龙节灯会为特色。,免费全天开放；建议周末1日游；成都出发车程40分钟；夏天可玩水。,黄龙溪建镇1700余年，自古为水路要冲，古称'赤水'，清代以后称黄龙溪，火龙节为非遗。,4.0,双流区
18,洛带古镇,4A,中国西部客家第一镇，90%居民为客家移民后裔。有四大会馆、土楼、长城等景观。,龙泉驿区洛带镇,104.1920,30.6540,4.2,0,"{""open"":""全天""}",中国西部客家第一镇，90%居民为客家移民后裔。有四大会馆、土楼、长城等景观。,免费全天开放；建议半日游；成都出发车程30分钟；客家伤心凉粉必尝。,洛带古镇始建于三国时期，清代客家移民大规模迁入，四大会馆为国家级文保单位。,3.0,龙泉驿区
19,安仁古镇·刘氏庄园博物馆,4A,中国近现代庄园建筑代表，全国保存最完好的地主庄园。分刘文彩公馆和刘文辉公馆两部分。,大邑县安仁镇,103.1180,30.5720,4.4,40,"{""open"":""9:00"",""close"":""17:30""}",中国近现代庄园建筑代表，全国保存最完好的地主庄园。分刘文彩公馆和刘文辉公馆两部分。,门票40元；游览2-3小时；成都出发车程1小时；需提前预约限流。,刘氏庄园建于20世纪初，是中国近现代社会的重要见证，1988年列为全国重点文保单位。,3.0,大邑县
20,西岭雪山,4A,成都第一高峰（5364米），杜甫'窗含西岭千秋雪'即指此山。冬季滑雪夏季避暑。,大邑县西岭镇,103.1630,30.7380,4.5,99,"{""open"":""9:00"",""close"":""17:00""}",成都第一高峰（5364米），杜甫'窗含西岭千秋雪'即指此山。冬季滑雪夏季避暑。,门票99元索道另购；冬季滑雪季12-3月；夏季避暑徒步；成都出发车程2.5小时。,西岭雪山因杜甫诗句'窗含西岭千秋雪'得名，1999年开辟为风景区，海拔5364米。,6.0,大邑县
21,天台山,4A,国家森林公园，以水景著称，有响水滩瀑布、长滩、十八里香草沟等。夏季避暑胜地。,邛崃市天台山镇,103.1560,30.4150,4.2,50,"{""open"":""8:30"",""close"":""17:00""}",国家森林公园，以水景著称，有响水滩瀑布、长滩、十八里香草沟等。夏季避暑胜地。,门票50元；游览4-5小时；夏季蚊虫多带驱蚊液；邛崃出发车程40分钟。,天台山古称东蒙山，是道教名山，宋代陆游曾在此任职并留下诗作。,5.0,邛崃市
22,平乐古镇,4A,两千多年历史的茶马古道第一镇，白沫江穿镇而过。有古驿道、古桥、古树等景观。,邛崃市平乐镇,103.4830,30.4890,4.1,0,"{""open"":""全天""}",两千多年历史的茶马古道第一镇，白沫江穿镇而过。有古驿道、古桥、古树等景观。,免费全天开放；建议半日游；与天台山同线路可组合；夏天可漂流。,平乐古镇始建于西汉，是南方丝绸之路第一驿站，秦汉以来即为茶马古道重要节点。,3.0,邛崃市
23,街子古镇,4A,凤栖山下千年古镇，有晋代古寺光严禅院、宋代古塔、清代古街。字库塔为标志性建筑。,崇州市街子镇,103.4720,30.6520,4.2,0,"{""open"":""全天""}",凤栖山下千年古镇，有晋代古寺光严禅院、宋代古塔、清代古街。字库塔为标志性建筑。,免费全天开放；建议半日游；与青城山车程20分钟可组合；古镇商业气息较弱。,街子古镇始建于晋代，因光严禅院而兴，明代杨升庵曾在此读书，清代形成现存古街格局。,3.0,崇州市
24,元通古镇,3A,三江交汇处千年古镇，清末民初为川西重要水码头。有永利桥、罗氏公馆、黄氏公馆等古迹。,崇州市元通镇,103.5150,30.6920,4.0,0,"{""open"":""全天""}",三江交汇处千年古镇，清末民初为川西重要水码头。有永利桥、罗氏公馆、黄氏公馆等古迹。,免费全天开放；建议半日游；与街子古镇车程15分钟可同游；开发较少较原生态。,元通古镇始建于东晋，三江交汇处水运便利，清代至民国时期为川西重要物资集散地。,2.0,崇州市
25,国色天乡乐园,4A,大型主题乐园，分陆乐园和水乐园（夏季开放）。适合亲子游和家庭出游。,温江区万春镇,103.8450,30.6840,4.2,60,"{""open"":""9:00"",""close"":""18:00""}",大型主题乐园，分陆乐园和水乐园（夏季开放）。适合亲子游和家庭出游。,门票60-120元不等；建议全天游玩；夏季水乐园推荐；地铁17号线到万春站。,国色天乡2007年开园，是西南地区最早的大型主题乐园之一。,6.0,温江区
26,望丛祠,3A,纪念古蜀望帝和丛帝的祠庙，四川现存唯一祭祀帝王的祠庙。望帝即杜宇，教民务农。,郫都区望丛中路,103.8720,30.8170,4.0,0,"{""open"":""8:00"",""close"":""17:00""}",纪念古蜀望帝和丛帝的祠庙，四川现存唯一祭祀帝王的祠庙。望帝即杜宇，教民务农。,免费入内；游览1小时；郫都区出发车程10分钟；与川菜博物馆可同游。,望丛祠始建于北宋，纪念古蜀国望帝杜宇和丛帝鳖灵，是古蜀文明的重要纪念地。,1.0,郫都区
27,成都动物园,3A,成都最大的动物园，有大熊猫、金丝猴等珍稀动物200余种。适合亲子游。,成华区昭觉寺南路,104.1050,30.7180,4.3,20,"{""open"":""8:00"",""close"":""18:00""}",成都最大的动物园，有大熊猫、金丝猴等珍稀动物200余种。适合亲子游。,门票20元；游览2-3小时；地铁3号线动物园站；与熊猫基地不同勿混淆。,成都动物园始建于1957年，是西南地区最大的动物园，大熊猫繁育展示区为特色。,3.0,成华区
28,三圣花乡,3A,成都近郊最大花卉观光区，分为花乡农居、荷塘月色、东篱菊园等五个主题村。,锦江区三圣街道,104.1300,30.6280,4.0,0,"{""open"":""全天""}",成都近郊最大花卉观光区，分为花乡农居、荷塘月色、东篱菊园等五个主题村。,免费全天开放；春季赏花最佳；建议半日游；适合拍照和家庭出游。,三圣花乡是成都城乡统筹示范点，2004年从传统农业村转型为都市观光农业。,3.0,锦江区
29,白鹿镇·白鹿教堂,3A,法式风情小镇，百年天主教修道院遗址。2008年地震后重建为中法风情小镇。,彭州市白鹿镇,103.9300,30.8450,4.0,0,"{""open"":""全天""}",法式风情小镇，百年天主教修道院遗址。2008年地震后重建为中法风情小镇。,免费全天开放；建议半日游；彭州出发车程40分钟；秋季银杏季最美。,白鹿镇始建于清代，法国传教士1908年建领报修院（书院），是中西文化交融之地。,2.0,彭州市
30,花舞人间,4A,大型花卉主题公园，四季花海不断，有杜鹃花瓶、百合塔等景观。适合亲子和拍照。,新津区永商镇,103.8350,30.5420,4.1,80,"{""open"":""9:00"",""close"":""17:00""}",大型花卉主题公园，四季花海不断，有杜鹃花瓶、百合塔等景观。适合亲子和拍照。,门票80元；建议半日到1日游；春季杜鹃花季最佳；成都出发车程40分钟。,花舞人间2008年开园，是西南地区最大的花卉主题景区。,4.0,新津区
31,斑竹林景区,3A,千亩竹海湿地景区，有大竹林、桤木林、羊马河湿地等。适合徒步和露营。,新津区兴义镇,103.8070,30.5630,4.0,0,"{""open"":""全天""}",千亩竹海湿地景区，有大竹林、桤木林、羊马河湿地等。适合徒步和露营。,免费全天开放；建议半日游；与花舞人间车程15分钟可同游；夏季避暑好去处。,斑竹林为成都平原湿地生态系统保护区，竹类品种50余种。,2.0,新津区
32,桃花故里,3A,中国桃花节发源地，万亩桃林。每年3月桃花季漫山遍野桃花盛开，是成都春季赏花胜地。,龙泉驿区山泉镇,104.2500,30.5900,3.9,0,"{""open"":""全天""}",中国桃花节发源地，万亩桃林。每年3月桃花季漫山遍野桃花盛开，是成都春季赏花胜地。,免费全天开放；3月桃花季为最佳时间；建议半日游；龙泉驿区出发车程20分钟。,桃花故里是国际桃花节发源地，1987年举办首届桃花节，桃文化历史悠久。,2.0,龙泉驿区
33,熊猫谷,3A,大熊猫野化放归基地，可近距离观察熊猫野外行为。与熊猫基地不同，这里更注重野化训练。,都江堰市青城山镇,103.5620,30.9050,4.3,58,"{""open"":""8:00"",""close"":""17:00""}",大熊猫野化放归基地，可近距离观察熊猫野外行为。与熊猫基地不同，这里更注重野化训练。,门票58元；游览2小时；与青城山车程10分钟可同游；游客较少体验更好。,熊猫谷是中国大熊猫保护研究中心野化放归基地，2014年建成开放。,2.0,都江堰市
34,合江亭,-,府河与南河交汇处，始建于唐代。成都情侣约会地标，寓意'百年好合'。附近有爱情斑马线。,锦江区合江亭街,104.0990,30.6570,3.8,0,"{""open"":""全天""}",府河与南河交汇处，始建于唐代。成都情侣约会地标，寓意'百年好合'。附近有爱情斑马线。,免费全天开放；建议傍晚游览30分钟；与太古里步行15分钟；适合拍照。,合江亭始建于唐贞元年间（785-805年），宋代为成都送别之地，苏辙有诗记之。,0.5,锦江区
35,凤凰山体育公园,-,2023年成都大运会主场馆，含6万座足球场和1.3万座综合体育馆。可参观游览或观赛。,金牛区北星大道,104.0750,30.7350,4.2,0,"{""open"":""全天""}",2023年成都大运会主场馆，含6万座足球场和1.3万座综合体育馆。可参观游览或观赛。,免费参观外围；赛事演出需购票；地铁5号线凤凰山体育公园北站。,凤凰山体育公园为2023年第31届世界大学生运动会主场馆，2021年建成。,1.0,金牛区
36,成都金融城双子塔,-,商务住宅,高新区锦晖西一街55号(金融城地铁站出入口旁),104.064759,30.582588,4.4,0,"{""open"":""全天""}",商务住宅;楼宇;商务写字楼,,,0.5,武侯区
37,交子公园,-,风景名胜,天府大道北段,104.072828,30.582568,4.5,0,"{""open"":""全天""}",风景名胜;公园广场;公园,全天开放，免费入园。建议傍晚前往，可同时欣赏交子双塔灯光秀。公园较大，步行需1-2小时，可租共享单车代步。,交子公园因世界上最早的纸币‘交子’得名，位于金融城核心区，寓意成都金融历史与现代发展的交融。,1.5,武侯区
38,铁像寺水街,3A,风景名胜,铁像寺路88号,104.050038,30.557844,4.5,0,"{""open"":""全天""}",风景名胜;风景名胜;国家级景点,免费开放，建议傍晚游览，灯光与水景交融更美。内有茶馆、餐厅，可安排半天时间体验成都慢生活。,铁像寺水街依托明代铁像寺而建，以水为脉，再现川西传统街巷与寺庙文化，是城市中难得的禅意休闲地。,2.5,武侯区
39,环球中心海洋乐园,-,体育休闲服务,天府大道北段1700号新世纪环球中心1层,104.062862,30.569822,4.2,0,"{""open"":""10:00"",""close"":""22:00""}",体育休闲服务;休闲场所;水上活动中心,门票约180元，夏季最宜。建议游玩半天，自备泳衣和防水袋。周末人多，工作日更舒适。注意防晒和补水。,环球中心海洋乐园是亚洲最大单体建筑内的室内水上乐园，融合海洋主题与科技娱乐，体现成都现代都市休闲文化。,3.5,武侯区
40,双子塔夜景打卡点,-,风景名胜,交子大道与益州大道北段交叉口东40米,104.060512,30.582369,4.6,0,"{""open"":""全天""}",风景名胜;风景名胜;风景名胜,免费打卡点，最佳时间为日落至晚上10点，灯光最璀璨。建议从交子公园或交子之环拍摄，夜景约30分钟足够。,双子塔（金融城双塔）是成都城南地标，其灯光秀常结合节日主题，展现成都现代化国际化的城市形象。,0.8,武侯区
41,桂溪生态公园,-,风景名胜,天府一街附近,104.067314,30.563054,4.4,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，全天可游。适合晨跑或野餐，夏季傍晚凉爽。园区较大，建议骑行游览，约1-2小时。,桂溪生态公园是成都环城生态带的重要节点，以‘海绵城市’理念打造，体现成都公园城市建设的生态实践。,1.5,武侯区
42,锦城公园,-,风景名胜,益州大道北段1666号,104.052308,30.570449,4.3,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，环湖步道约5公里，建议骑行或步行2小时。春秋最佳，傍晚可看日落。部分湖区禁止游泳垂钓。,锦城公园依托锦城湖而建，是成都天府绿道体系的核心组成部分，承载了千年锦官城的水文化与现代生态理念。,2.0,武侯区
43,超级奈尔宝SUPER NEOBIO(成都环球中心店),-,购物服务,天府大道北段1700号环球中心S1-S2,104.0616,30.566505,4.5,0,"{""open"":""10:00"",""close"":""22:00""}",购物服务;购物相关场所;购物相关场所,亲子乐园，门票约200-300元/人。建议工作日前往，游玩半天。需提前预约，穿舒适衣物，注意儿童安全。,超级奈尔宝是高端室内亲子乐园品牌，位于环球中心，以沉浸式体验和创意设计著称，代表成都家庭休闲消费新趋势。,2.0,武侯区
44,九叶莲桥,-,风景名胜,科华南路与锦云东三巷交叉口东北120米,104.078795,30.582484,4.2,0,"{""open"":""全天""}",风景名胜;风景名胜;风景名胜,免费开放，小景点，建议顺路游览，约20分钟。最佳时间为春秋傍晚，适合拍照散步，无需专门安排行程。,九叶莲桥因桥身九叶莲花造型得名，位于锦城湖区域，融合传统莲花意象与现代桥梁设计，象征和谐吉祥。,1.0,武侯区
45,桂溪生态公园东区,-,风景名胜,世纪城东路9号(四川电视台对面),104.073417,30.563249,4.3,0,"{""open"":""全天""}",风景名胜;风景名胜相关;旅游景点,免费开放，东区更安静，适合晨练和亲子活动。有儿童游乐区，建议游玩1-2小时，夏季注意防蚊。,桂溪生态公园东区延续了公园城市的生态理念，以湿地景观和本土植物为主，是城南居民日常休闲的重要绿肺。,1.5,武侯区
46,大源中央公园,-,风景名胜,成都高新区天府二街777号(大源地铁站D口旁),104.049182,30.549059,4.2,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，全天可游。适合午后散步或傍晚运动，公园地下有商业街，可顺带购物餐饮，建议游玩1小时。,大源中央公园是成都高新区核心社区公园，以现代景观设计服务周边居民，体现产城融合与宜居宜业的发展理念。,1.5,武侯区
47,八潮天燚天妇罗,-,风景名胜,交子大道33号中国华商金融中心,104.063425,30.581175,4.0,0,"{""open"":""11:00"",""close"":""21:00""}",风景名胜;风景名胜;风景名胜,实际上为餐厅（日式天妇罗），建议午晚餐时段前往，人均消费约150-300元，需提前订位，用餐约1.5小时。,八潮天燚天妇罗是成都高端日料新锐，以天妇罗专精为特色，反映成都餐饮市场国际化与多元化融合趋势。,1.0,武侯区
48,交子之环,-,风景名胜,交子大道177号中海国际中心,104.059498,30.581982,4.6,0,"{""open"":""全天""}",风景名胜;风景名胜;风景名胜,免费开放，建议夜晚前往，灯光与交子双塔呼应。环形步道可俯瞰车流，最佳拍摄时间日落后30分钟，约30分钟游览。,交子之环是成都金融城的人行景观天桥，环形设计象征货币与循环经济，纪念‘交子’纸币诞生，成为城南新地标。,0.8,武侯区
49,天府绿道,-,风景名胜,世纪城东路9号桂溪生态公园东区内(东侧),104.076812,30.56275,4.5,0,"{""open"":""全天""}",风景名胜;风景名胜;风景名胜,免费开放，绿道全线超100公里，建议骑行或慢跑。可分段体验，锦城湖段最精华。自备饮水，注意防晒，适合半天。,天府绿道是全球最长的城市绿道系统，串联成都生态公园与历史文脉，是‘公园城市’理念的标志性工程。,2.0,武侯区
50,成都江滩公园,-,风景名胜,世纪城路,104.080905,30.555514,4.3,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，江滩宽阔，适合放风筝、野餐。傍晚江风凉爽，建议游玩1-2小时。汛期注意水位警示，勿靠近江边。,江滩公园依锦江而建，曾是传统河滩地，现改造为滨水休闲空间，体现了成都人亲水乐活的市井生活方式。,1.5,武侯区
51,锦城湖2号湖区,-,风景名胜,锦城大道1333号锦城湖内(东侧),104.043112,30.574282,4.2,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，环湖步道约4公里，建议骑行或步行1.5小时。清晨和黄昏最佳，可带面包喂鱼。注意保护湖区环境。,锦城湖2号湖区是锦城公园的重要组成部分，以生态修复和水文化展示为特色，承载成都‘六湖八区’水系规划的历史意义。,2.0,武侯区
52,东郊记忆,4A,风景名胜,跳蹬河街道建设南支路1号,104.122906,30.668697,4.5,0,"{""open"":""全天""}",风景名胜;风景名胜;国家级景点,建议下午或傍晚前往，避开正午暴晒，游览约2-3小时。园区免费，部分展览收费。地铁8号线东郊记忆站直达。,原成都红光电子管厂改造的工业遗址公园，保留红砖厂房与烟囱，融合音乐、美术、戏剧等当代艺术，是成都潮流文化地标。,3.0,成华区
53,成都大熊猫繁育研究基地,5A,风景名胜,熊猫大道1375号,104.138176,30.740573,4.8,55,"{""open"":""7:30"",""close"":""18:00""}",风景名胜;风景名胜;国家级景点,务必早到，7:30开门即入园看熊猫最活跃。游览3-4小时，门票55元。地铁熊猫大道站有接驳车，建议网上提前购票。,世界著名的大熊猫保护研究机构，模拟野外生态环境，可近距离观察大熊猫及小熊猫，是成都生态保护与科研的重要窗口。,3.5,成华区
54,一起幻城·任务闯关乐园(成都环球中心店),-,体育休闲服务,环球中心A馆3层B16号,104.064583,30.570027,3.8,0,"{""open"":""10:00"",""close"":""22:00""}",体育休闲服务;休闲场所;游乐场,适合团队或亲子，建议预留2-3小时。位于环球中心内，门票约100-200元。周末人多，可提前电话咨询场次。,新型沉浸式闯关乐园，结合任务解谜与互动演艺，主打年轻人和家庭娱乐，体现成都现代都市休闲创意。,3.0,武侯区
55,成都武侯祠博物馆,4A,科教文化服务,武侯祠大街231号,104.047992,30.646168,4.6,50,"{""open"":""9:00"",""close"":""17:00""}",科教文化服务;博物馆;博物馆,建议游览2小时，门票50元。开放时间9:00-18:00。与锦里相连可一并游玩，地铁3号线高升桥站步行可达。,纪念刘备、诸葛亮等蜀汉英雄的祠庙，全国重点文物保护单位，红墙竹影间承载三国文化，是成都历史核心地标。,2.5,武侯区
56,宽窄巷子景区,4A,购物服务,少城街道金河路口宽窄巷子,104.053307,30.663869,4.6,0,"{""open"":""全天""}",购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,全天开放，免费进入，建议游玩2-3小时。清晨或夜晚人少更佳。地铁4号线宽窄巷子站直达，节假日非常拥挤。,由宽巷子、窄巷子、井巷子组成，清代古街区格局保存完好，兼具川西民居与北方胡同风格，是成都慢生活与市井文化的代表。,2.0,青羊区
57,中和湿地公园,-,风景名胜,朝阳横街北50米,104.095422,30.565879,4.2,0,"{""open"":""全天""}",风景名胜;公园广场;公园,免费开放，适合骑行或散步，建议1-2小时。春夏季花草最盛，注意防晒防蚊。地铁6号线中和站下车步行较远，建议自驾。,依托府河湿地建造的生态公园，以自然野趣、芦苇浅滩为特色，是成都环城生态带的重要节点，体现公园城市理念。,2.0,双流区
58,铁像寺,-,风景名胜,铁像寺路66号,104.049006,30.557092,4.1,0,"{""open"":""8:00"",""close"":""17:00""}",风景名胜;风景名胜;寺庙道观,免费开放，香火旺盛，建议游览1小时，上午前往更清净。寺院素斋可品尝，注意着装庄重。,明代古刹，供奉铁铸释迦牟尼像，历经重修，融合佛教文化与川西园林，是武侯区少有的静谧禅修之所。,1.0,武侯区
59,人民公园,4A,风景名胜,小南街8号(人民公园地铁站B口步行250米),104.057641,30.65699,4.5,0,"{""open"":""全天""}",风景名胜;风景名胜;国家级景点,免费开放，全天可游，建议1-2小时。鹤鸣茶社喝盖碗茶体验老成都，清晨有晨练，傍晚适合散步。,始建于1911年的百年老公园，有保路运动纪念碑，是成都人喝茶、掏耳朵、下棋的市井生活缩影，被誉为“成都之心”。,2.0,青羊区
