rule_id,rule_content,reason,priority
R-033,豪华档：每日餐饮预算≥400元，正餐必须包含高端私房菜或黑珍珠/米其林推荐餐厅（人均≥300元/餐），允许私人定制菜单；交通采用全程包车（含司机）或高端网约车专车，单日交通预算≥200元；景点选择可包含私人导览、VIP免排队票及非公开文化体验（如川剧后台探访），单日门票+体验预算≥300元。,豪华档追求极致体验，餐饮、交通、景点三项硬性高预算确保无妥协，且互相独立不挤占，总日均远超500元。,1
R-034,学生党在成都住宿必须选择青旅或经济型连锁酒店（单价≤150元/晚），且必须位于地铁2号线或4号线沿线，优先选择春熙路或宽窄巷子周边3公里内的青旅，以步行可达网红打卡点（如IFS熊猫、太古里）为硬性标准。,预算紧张是核心约束，但需兼顾打卡效率，地铁沿线能节省交通费和时间成本，保证一天内覆盖至少4个网红点且夜间安全返回。,1
R-035,学生党每日餐饮总预算必须控制在60元以内，且至少包含一顿本地小吃（如洞子口张老二凉粉、贺记蛋烘糕），禁止进入人均超过80元的餐厅，晚餐可选择建设路或玉林路夜市，但必须提前查好摊位营业时间（避免跑空）。,追求性价比与真实市井体验，避免因网红店溢价透支预算，同时保证有体力完成日均2万步的暴走行程。,1
R-036,情侣在成都必须预定至少一晚带独立浴缸或私汤的酒店（如青城山温泉酒店或锦江宾馆江景房），且该酒店距离当晚安排的夜景地点（如九眼桥或合江亭）车程不超过30分钟，晚餐必须为双人套餐（火锅或川菜，人均150-300元），且需提前一天预约靠窗或露台座位。,浪漫场景依赖私密性与景观，温泉/江景是核心记忆点，双人套餐和夜景动线必须无缝衔接，避免因交通或排队摧毁气氛。,1
R-037,情侣在成都的白天行程中，每天必须安排至少一个慢节奏互动场景（如人民公园鹤鸣茶社喝盖碗茶、东郊记忆拍胶片风合照），且该场景停留时间不得少于90分钟，禁止安排超过两个需步行爬坡的景点（如青城山、龙泉山）在同一天。,情侣核心诉求是情感联结而非景点数量，慢节奏和肢体接触空间（如并排坐、互拍）比打卡更重要，体能分配需优先保障晚上浪漫活动。,2
R-038,摄影爱好者在成都必须将日出（夏季6:10前，冬季7:10前）和日落（夏季19:50后，冬季18:20后）时段锁定为不可移动的拍摄窗口，优先选择龙泉山观景台（日出）和望江楼公园或金融城双子塔（日落）作为机位，此时间段内禁止安排用餐、购物或转场超过40分钟。,黄金光线瞬间即逝，器材准备和机位占位需要提前1小时到达，牺牲用餐是常态，硬性锁定时间能保证出片质量。,1
R-039,摄影爱好者在成都携带器材（三脚架、长焦镜头、无人机）时，每日核心拍摄点（如锦里夜景、都江堰水利工程）必须安排在上午10点前或下午3点后，避开人流高峰，且单日移动距离不得超过15公里（打车或地铁），以防器材负重导致体力崩溃影响第二天日出。,器材重量和调试时间要求低光照和低人流环境，强行在正午拍摄只会得到废片，控制移动距离保证体力可持续性。,2
R-040,商务客在成都的住宿必须为5星级酒店（如博舍、群光君悦或JW万豪），且距离客户公司或会议场地（如世纪城新国际会展中心、天府软件园）车程不得超过20分钟，同时酒店必须提供24小时行政酒廊和快速退房服务，以保障随时处理工作邮件或会见客户。,时间紧凑且形象重要，5星是商务谈判的隐性背书，靠近商圈和会场能缩短无效通勤，行政酒廊提供非正式会面与高效早餐。,1
R-041,商务客在成都的商务宴请必须选择米其林或黑珍珠榜单川菜餐厅（如玉芝兰、马旺子），且单次宴请时长控制在120分钟内，必须提前预订包间并确认有专人服务、停车位及可开发票，午宴时间不得晚于13:00开始，晚宴不得晚于19:30开始，餐后若客户有意可加一场宽窄巷子茶馆会谈（不超过40分钟）。,高端餐饮是商务礼仪的载体，但超时会导致全天日程崩盘，包间和发票是硬性商务条件，茶馆续谈适合敲定细节而非纯社交。,1
R-042,每日正餐菜系不得重复，且火锅、串串、冒菜三类中任选其一后，当天不得再安排另外两类；同时火锅不得连续两天出现在行程中。,成都美食以重油重辣为主，同类型或连续重口味会迅速导致味觉疲劳和肠胃负担，间隔安排不同菜系（如川菜、小吃、跷脚牛肉等）能保持新鲜感并降低消化压力。,1
R-043,辣度必须逐日递增：第一天所有正餐辣度上限为微辣（如甜水面、钟水饺、不辣的豆花），第二天上限为中辣（如麻婆豆腐、辣子鸡），第三天及之后才可安排重辣（如牛油火锅、特辣串串）。同一日内晚餐辣度不得高于午餐辣度。,成都本地人吃辣是长期适应结果，游客若首日即重辣，极易引发肠胃炎或味觉麻木，导致后续行程无法正常品尝。渐进式辣度让身体逐步适应，保障旅程质量。,1
R-044,每日早餐必须包含至少一种成都本地特色（如肥肠粉、红油抄手、担担面、军屯锅盔、叶儿粑、蛋烘糕等），禁止安排西式快餐（如麦当劳、肯德基、星巴克面包）作为替代。,早餐是体验市井文化的黄金时段，且本地早餐多为碳水+红油组合，能提供上午逛展或徒步所需能量。若吃连锁快餐，则违背深度美食旅行核心目的，且无法为中午的辣度递进做铺垫。,1
R-045,两顿正餐（午餐或晚餐）之间的时间间隔必须≥4小时，且午餐不得早于11:30，晚餐不得晚于21:00。若间隔不足4小时，则只能安排小吃或饮品（如糖油果子、盖碗茶），不计入正餐。,成都正餐分量足、油盐重，消化时间本就较长。间隔过短会造成积食、腹胀，且下午或晚上无法再品尝其他街头美食。严格执行时间窗口能保证每顿都吃到最佳状态。,1
R-046,每日至少安排1餐为非辣口味（如跷脚牛肉、豆汤饭、白果炖鸡、清汤抄手、甜烧白、三大炮等），且该非辣餐应安排在当日两顿正餐中的任意一餐，不得用奶茶或甜品替代。,连续多顿辣食会破坏胃黏膜保护层，非辣餐提供缓冲，同时能品尝川菜中“百菜百味”中的咸鲜、甜香等层次。这也是本地人家庭聚餐的常见搭配逻辑，确保肠胃可连续作战5天。,1
R-047,若行程包含春熙路、太古里、IFS或夜游锦江，则住宿片区必须为春熙路/太古里或东门大桥地铁站周边，且酒店距地铁2号线或3号线站点步行不超过500米；若行程包含宽窄巷子、人民公园或奎星楼街，则住宿片区必须为宽窄巷子/人民公园周边，且酒店距地铁4号线站点步行不超过500米；若行程包含武侯祠、锦里或玉林路，则住宿片区必须为高升桥/红牌楼或武侯祠周边，且酒店距地铁3号线站点步行不超过500米；若次日行程为青城山或都江堰，则当晚住宿必须在都江堰市区（距离堆公园站或都江堰站不超过500米），不得返回成都市区住宿。,确保每天行程结束后步行或短驳即可回酒店，避免跨区通勤浪费游玩时间；都江堰景区距成都市区超50公里，当日往返会压缩游览时间且增加疲惫感。,1
R-048,所有住宿酒店的直线位置必须位于成都绕城高速（三环）以内，且距地铁1号线、2号线、3号线或4号线中任意一条线路的站点（含在建暂未开通站点除外）步行距离不得超过500米。若次日清晨行程明确为熊猫基地（位于三环外东北方向），则允许前一晚住宿在三环外但必须位于熊猫基地周边3公里范围内，且该住宿点必须紧邻地铁3号线熊猫大道站或军区总医院站（步行≤500米），其他任何情况下不得选择三环外住宿。,三环内为成都核心旅游与交通覆盖区，地铁网络密集，夜间打车及公共交通回程便利；500米步行上限保证行李搬运和雨天通勤的舒适度；熊猫基地清晨开门前需尽早到达，故仅允许该特定场景下破例。,1
R-049,严禁将住宿选在火车北站（成都站）周边半径1.5公里范围内（含北站西二路、北站东一路、五块石区域），严禁选在太升南路地铁站周边半径800米范围内（含忠烈祠街、鼓楼北街、桂王桥南街），无论该区域酒店价格多么诱人。若预算紧张，可选择地铁2号线或4号线沿线如中医大省医院站、西南财大站、文化宫站周边，但必须满足前两条规则。,火车北站区域为老城交通枢纽，人员混杂、夜间治安隐患多，且周边多为批发市场，环境嘈杂且缺乏旅游配套；太升南路为手机通讯市场，白天人流拥挤、夜间商铺关门后街道冷清，且该区域老旧小区密集，酒店品质参差不齐，治安与卫生投诉率高。,1
R-050,国庆/春节/五一期间，熊猫基地、三星堆、都江堰必须提前7天在官方渠道实名预约门票，未预约不得前往现场购票。,三大热门景区节假日实行限流，现场票基本售罄，且黄牛票风险高，未预约将直接导致行程失败。,1
R-051,节假日首日及返程日，成渝、成绵乐高铁票必须提前15天（含开售当天）抢票，且优先选择早7点前或晚8点后的车次，避开上午9-11点成都东站出发高峰。,成渝/成绵乐短途客流节假日暴增，开售即秒空；9-11点为成都东站安检及进站排队峰值，易误车。,1
R-052,五一/国庆/春节假期，成都市区内景点（武侯祠、锦里、宽窄巷子、杜甫草堂）安排在8:00前或16:00后游览，上午9-11点禁止前往上述区域，远郊景点（青城山、西岭雪山）仅限假期第3天以后前往。,9-11点为旅行团集中入场时段，核心景区人挤人且排队超1小时；远郊高速及景区道路首日必堵，第三天起流量回落。,1
R-053,国庆/春节/五一期间，成都市区及周边酒店（含民宿）必须提前30天完成预订，且优先选择地铁2号线/4号线沿线（非景区门口）酒店；返程日（假期最后一天）自驾回成都必须避开17-19点高速收费站出口，改走绕城高速或延后至20点后进城。,节假日酒店价格翻倍且满房率超95%，30天内基本无房；返程日17-19点成雅/成南/成绵高速成都出口拥堵时长可达2小时以上，绕城或错峰可省1.5小时。,1
