food_id,food_name,category,description,avg_price,best_areas,famous_shops
15,甜水面,小吃,"成都特色小吃，粗面条配红油辣椒、蒜泥、甜酱油。口感甜辣交织有嚼劲。",8-12,"文殊院、宽窄巷子","洞子口张老二凉粉（文殊院店）"
16,兔头,小吃,"成都人最爱零食，麻辣味和五香味两种。啃兔头是成都人的生活方式。",8-15,"双流区、全市夜市","双流老妈兔头、老贺兔头"
17,肥肠粉,小吃,"红薯粉配肥肠节子，麻辣汤底。加节子（肥肠段）为标配。",10-18,"宽窄巷子、建设路","甘记肥肠粉（宽窄巷子店）"
18,蛋烘糕,小吃,"成都传统街边小吃，蛋浆烤制薄饼，可夹甜咸各种馅料。奶油肉松为经典。",3-8,"文殊院、各中小学门口","贺记蛋烘糕"
19,军屯锅盔,小吃,"彭州传统小吃，千层酥皮面饼，肉馅或红糖馅。烤制金黄酥脆。",5-10,"全市各锅盔店","林记锅盔（彭州总店）"
20,三大炮,甜品,"成都传统甜品，糯米团子甩在铜盘上弹跳三声落入红糖芝麻粉中。声音为特色。",8-15,"宽窄巷子、锦里","三大炮（锦里店）"
21,冰粉,甜品,"成都夏季消暑甜品，冰凉粉配红糖水、醪糟、山楂、花生碎。清凉爽口。",5-15,"全市各甜品店","闷墩冰粉、玫瑰糍粑冰粉"
22,蹄花汤,川菜,"雪豆炖猪蹄，汤色奶白浓稠，猪蹄软糯脱骨。蘸碟为灵魂。适合宵夜。",25-40,"武侯区、锦江区","老妈蹄花（武侯祠大街）"
23,跷脚牛肉,川菜,"乐山传来的名菜，牛杂牛肉配中草药汤底。鲜香不腥，蘸干辣椒碟食用。",35-60,"乐山、武侯区","冯四娘跷脚牛肉（武侯店）"
24,宫保鸡丁,川菜,"成都名菜，鸡丁配花生干辣椒爆炒。糊辣荔枝味型，甜酸咸鲜辣兼备。",20-35,"全市各川菜馆","陈麻婆豆腐、荣乐园"
25,回锅肉,川菜,"川菜之首，五花肉配蒜苗郫县豆瓣炒制。肥而不腻酱香浓郁，下饭神器。",18-30,"全市各川菜馆","陈麻婆、红杏酒家"
26,鱼香肉丝,川菜,"经典川菜，猪肉丝配木耳笋丝，鱼香味型（泡椒姜蒜糖醋）。无鱼却有鱼香。",18-28,"全市各川菜馆","荣乐园、陈麻婆"
27,水煮牛肉,川菜,"麻辣红油汤底煮牛肉片，表面浇热油激香花椒辣椒。麻辣烫鲜嫩。",28-45,"武侯区、锦江区","陈麻婆豆腐、卞氏菜根香"
28,口水鸡,凉菜,"白切鸡浇红油花椒面蒜泥，麻辣鲜香嫩。冷盘上桌，成都人最爱凉菜之一。",25-40,"全市各川菜馆","廖记棒棒鸡、佐冷馋"
29,棒棒鸡,凉菜,"鸡肉手撕成条浇红油调料，因用木棒敲打刀背切鸡而得名。麻辣鲜香。",25-40,"全市各卤味店","廖记棒棒鸡、紫燕百味鸡"
30,白砍鸡,凉菜,"白切鸡斩块浇红油调料，皮脆肉嫩。与棒棒鸡类似但刀法不同。",25-40,"武侯区、青羊区","川西坝子、钦善斋"
31,叶儿粑,小吃,"糯米面包咸馅（芽菜肉末）或甜馅（红糖花生），外裹叶子蒸制。清香软糯。",3-8,"大邑、崇州、全市早餐店","大邑叶儿粑、崇州叶儿粑"
32,冻糕,小吃,"大米糯米磨浆发酵蒸制，口感松软微酸。大邑名小吃，冬季限定。",3-6,"大邑县、市区早餐店","大邑冻糕（总店）"
33,甜皮鸭,川菜,"乐山传来的甜咸口味卤鸭，表皮刷红糖脆甜，肉质紧实。成都人送礼首选。",35-55,"武侯区、全市各卤味店","王鸭子、甜皮鸭（武侯店）"
34,干锅,川菜,"各种食材干锅爆炒无汤汁，香辣干香。干锅虾、干锅蛙、干锅鸡为经典。",40-70,"武侯区、锦江区","胖妈干锅、九锅一堂"
35,烤匠麻辣鱼,川菜,"成都人气烤鱼，鱼烤制后浇麻辣红油，配豆花和魔芋。排队名店。",45-70,"春熙路、各商圈","烤匠（春熙路店）"
36,冒烤鸭,川菜,"烤鸭切块浇冒菜汤底，麻辣鲜香。成都独有吃法，烤鸭+冒菜的结合。",25-40,"建设路、玉林路","明婷饭店、冒烤鸭（建设路店）"
37,凉粉,小吃,"成都传统小吃，白凉粉拌麻辣调料。口感冰凉滑嫩，夏季消暑。黄凉粉豌豆制成。",5-12,"文殊院、宽窄巷子、建设路","洞子口张老二凉粉、伤心凉粉"
38,凉面,小吃,"成都夏季小吃，细面条拌红油蒜泥花椒面。麻辣鲜香有嚼劲，夏天必吃。",8-15,"全市各面馆、小吃店","皇城坝小吃、洞子口凉面"
39,豆汤饭,小吃,"豌豆汤配米饭，汤色浓稠豌豆香。成都人冬季暖胃首选，简餐标配。",12-20,"青羊区、全市早餐店","豆汤饭（文殊院店）"
40,红糖糍粑,甜品,"糯米糍粑油炸至金黄，外裹黄豆粉浇红糖浆。外酥内糯甜而不腻。火锅后必点。",8-15,"全市火锅店、甜品店","各火锅店标配甜品"
41,烤脑花,烧烤,锡纸烤猪脑，麻辣鲜香嫩滑如豆腐，是成都烧烤的灵魂之作，重口必点。,18-28,玉林路、建设路,何师烧烤
42,烤五花肉,烧烤,肥瘦相间，炭火烤至焦脆冒油，撒上辣椒面和孜然，裹生菜吃解腻过瘾。,30-50,抚琴、九眼桥,川西坝子烧烤
43,烤茄子,烧烤,整根茄子对半剖开，铺满蒜蓉、折耳根和肉末，烤得软糯入味，川味浓郁。,15-25,建设路夜市、犀浦,夜猫子烧烤
44,烤郡肝,烧烤,鸡胗切成小串，脆嫩弹牙，裹满辣椒面和花椒面，一口一串停不下来。,20-35,玉林、双楠,王大爷烧烤
45,烤鸡翅,烧烤,提前用秘制川味酱料腌制，烤得外皮微焦内里多汁，辣中带甜，是成都人宵夜首选。,25-40,春熙路、宽窄巷子周边,烤匠烧烤
46,烤苕皮,烧烤,红薯粉皮烤至起泡，包入酸豆角、葱花和折耳根，刷红油辣椒，软糯酸辣。,8-12,各大夜市、街头小摊,无名小摊（建设路）
47,烤韭菜,烧烤,新鲜韭菜刷油烤制，撒辣椒粉和孜然，香气扑鼻，是素菜烧烤中的经典解腻神器。,10-15,所有烧烤店,无特定
48,烤鲫鱼,烧烤,整条鲫鱼开背烤制，铺满泡椒、小米辣和藿香，鱼肉细嫩入味，酸辣鲜香。,35-50,三圣乡、农家乐烧烤区,农家小院烧烤
49,冷吃兔,江湖菜,自贡风味入侵成都江湖，兔丁干香麻辣，冷吃热吃皆宜，配啤酒绝佳。,35-60,玉林、九眼桥、建设路,自贡好吃兔（玉林店）
50,跳水蛙,江湖菜,仔姜泡椒双椒爆炒牛蛙，酸辣鲜嫩，汤汁泡饭一绝，江湖气十足。,50-80,双楠、科华北路、宽窄巷子周边,蛙蛙叫冷锅鱼（双楠店）
51,干煸鳝鱼,江湖菜,土鳝鱼段干煸至皮酥肉嫩，配大量干辣椒花椒，麻辣焦香，下酒神器。,60-90,沙湾、府南新区、华阳,明婷饭店（外曹家巷）
52,烧鸡公,江湖菜,土鸡高压锅压软后加红油豆瓣烧制，芋儿耙糯，鸡肉入味，江湖菜扛把子。,45-70,李家沱、驷马桥、犀浦,王妈手撕烤兔（玉林路）
53,藿香鲫鱼,江湖菜,鲜活鲫鱼配大量藿香叶、泡椒、豆瓣烧制，鱼肉细嫩，藿香清香解腻。,40-65,人民公园、文殊院、红牌楼,陈麻婆豆腐（骡马市店）
54,盆盆虾,江湖菜,大虾开背油炸后入红油火锅底料煮制，配土豆藕片，麻辣鲜香，越吃越上瘾。,55-85,春熙路、九眼桥、桐梓林,小龙坎老火锅（春熙路店）
55,泰式冬阴功火锅,异国料理,酸辣鲜香的泰式汤底融入成都麻辣风味，加入本地鲜蔬和嫩牛肉，口感层次丰富，越煮越香。,80-120,科华北路、建设路,集渔·泰式海鲜火锅
56,印度黄油鸡肉咖喱配烤饼,异国料理,浓郁香料与成都辣椒巧妙结合，黄油鸡肉嫩滑，配现烤馕饼蘸食，微辣回甜，异域风情十足。,60-90,桐梓林、天府广场,印度菜菜
57,日式地狱拉面,异国料理,豚骨汤底加入成都二荆条辣椒油和花椒，麻辣鲜香，叉烧软糯，面条劲道，适合无辣不欢的拉面控。,35-55,春熙路、太古里,一风堂、麺屋武藏
58,韩式辣炒年糕加川味香肠,异国料理,韩式辣酱与郫县豆瓣酱混合，年糕软糯Q弹，加入本地麻辣香肠和鱼饼，甜辣中带川香，街头人气小吃。,25-40,建设路小吃街、玉林路,首尔香·韩式小吃
59,越式酸辣海鲜河粉,异国料理,清爽的越南河粉配上四川小米辣和青柠，酸辣开胃，鲜虾鱿鱼弹牙，汤底融合鱼露与藤椒油，鲜麻解腻。,40-60,宽窄巷子、九眼桥,Pho Asia 亚洲越南粉
60,意式麻辣披萨,异国料理,薄底披萨铺满马苏里拉芝士，淋上川味红油和腊肉丁，搭配罗勒与花椒，中西合璧，香辣拉丝过瘾。,70-100,大悦城、来福士广场,速度披萨、比萨玛尚诺
61,墨西哥塔可配四川莎莎酱,异国料理,玉米脆饼夹烤肉和牛油果，浇上以番茄、香菜、二荆条调制的川式莎莎酱，酸辣爽脆，异域味蕾碰撞。,45-70,兰桂坊、镗钯街,么哈MOJA、Taco Bell
62,泰式菠萝炒饭配川味香肠,异国料理,泰国香米与菠萝、腰果同炒，加入广式腊肠和四川麻辣香肠，甜咸辣交织，盛入整只菠萝，果香浓郁。,50-80,银泰中心in99、环球中心,暹罗泰、泰香米
63,盖碗咖啡,咖啡馆,用成都盖碗茶碗装拿铁或美式，中西混搭，茶香与咖啡香交融，配花生酥，市井又时髦。,28-48,宽窄巷子、奎星楼街,见外茶咖、壹丁咖啡
64,花椒美式,咖啡馆,在冰美式中加入少许汉源花椒，入口微麻带果香，后调回甘，成都人敢想的麻辣咖啡代表。,32-45,玉林路、镋钯街,Manner Coffee（玉林店）、常识咖啡
65,红糖糍粑拿铁,咖啡馆,热拿铁上浮着手打糍粑块，淋上红糖浆，喝前搅匀，甜糯与咖啡苦香交织，像在吃甜水面。,35-50,太古里、望平街,厘途·Little Travel、缝纫机咖啡
66,熊猫拉花澳白,咖啡馆,奶泡上精心勾勒出熊猫脸，用竹炭粉点缀耳朵，用竹子吸管喝，萌化人心，适合拍照打卡。,30-42,春熙路、建设路,Panda Coffee、%Arabica（远洋太古里店）
67,藤椒冷萃气泡,咖啡馆,冷萃咖啡加气泡水，滴几滴藤椒油，杯口抹椒盐，入口清爽带麻，解腻开胃，夏日限定款。,38-52,东郊记忆、九眼桥,灶咖、UID Cafe
68,狼牙土豆,酒吧,油炸土豆条拌折耳根、香菜、辣椒面，外脆内绵，酸甜麻辣，夜市酒吧人气小吃。,8-15,玉林路、电子科大、九眼桥,老字号狼牙土豆、街边摊
69,卤鸭舌,酒吧,成都卤味代表，鸭舌卤香入味，微辣回甜，肉质Q弹，配威士忌或精酿极佳。,30-50,桐梓林、九眼桥、宽窄巷子,廖记棒棒鸡、紫燕百味鸡
70,豆浆油条,早餐,现磨豆浆浓香醇厚，配现炸酥脆油条，蘸着吃或泡着吃，老成都的经典朴实早餐，暖胃又管饱。,5-8,全市大街小巷,小谭豆花（西月城街店）也有豆浆油条
71,豆腐脑,早餐,嫩滑豆花浇上红油辣子、酥黄豆、葱花、榨菜，咸辣鲜香，成都版豆腐脑麻辣过瘾，热腾腾一碗下肚。,6-10,青羊区、金牛区,小谭豆花（西月城街店）
72,醪糟粉子,早餐,糯米粉搓成小圆子，与醪糟同煮，打入蛋花，甜香软糯，酒酿味浓郁，冬日早餐暖身暖心。,8-12,锦江区、武侯区,蜀风园醪糟（春熙路店）
73,冷啖杯,夜宵,成都夏夜标配，卤菜、凉菜配冰啤，荤素拼盘麻辣鲜香，边吃边摆龙门阵，市井烟火气十足。,40-80,玉林路、九眼桥、宽窄巷子周边,老黄记手撕烤兔、醉南亚冷啖杯
74,夜烧烤,夜宵,炭火烤制，重口码料，五花肉、鼻筋、掌中宝是灵魂，撒上辣椒面与孜然，油香扑鼻，配唯怡豆奶解辣。,50-100,建设路、抚琴小区、水碾河,何师烧烤、李不管把把烧
75,鬼饮食抄手,夜宵,专做深夜的干拌红油抄手，皮薄馅大，裹满熟油海椒和蒜泥，一口爆汁，麻辣回甜，凌晨两三点仍排队。,15-25,春熙路周边、牛王庙、曹家巷,龙抄手（夜宵档）、八二小区抄手
76,脑花面,夜宵,整副猪脑现煮，嫩如豆腐，浸在红油汤底中，配面条或米饭，撒葱花折耳根碎，麻辣鲜嫩，挑战重口极限。,18-28,电子科大建设路、海椒市、玉双路,脑花面（总店）、王记特色脑花面
77,成都担担面,面食,成都面食经典，面条细薄，臊子酥香，红油、花椒、芽菜末提味，咸鲜微辣，香气扑鼻。,10-20,锦江区、青羊区、武侯区,皇城坝小吃、担担面总店（提督街）
78,红油抄手,面食,皮薄馅嫩，形似元宝，红油汤底麻辣鲜香，加葱花、芝麻，入口滑爽，暖胃过瘾，成都人的早餐至爱。,12-20,锦江区、成华区、高新区,龙抄手（春熙路总店）、钟水饺（人民公园店）
79,成都杂酱面,面食,本地干拌面代表，肉臊酱香浓郁，配脆爽豇豆或青菜，面条筋道，拌匀后麻辣咸鲜，回味悠长。,12-18,武侯区、青羊区、双流区,怪味面（磨子桥店）、老成都杂酱面
80,查渣面,面食,源自崇州，面条细滑，臊子炒得酥脆如渣，汤底用骨头熬制，红油清亮，麻辣中带猪骨鲜香，地道成都味。,15-25,崇州市、温江区、郫都区,查渣面（崇州总店）、石观音查渣面
