rule_id,category,title,content,severity
38,安全提醒,西岭雪山高反注意,"西岭雪山海拔3000+米，部分游客可能有轻微高反。勿剧烈运动，带巧克力补充能量。有心脏病慎往。",high
39,安全提醒,都江堰水利工程区勿翻越,"都江堰鱼嘴和飞沙堰有警示区域，勿翻越护栏。水流湍急落水极危险，拍照注意脚下。",high
40,文化提醒,洛带古镇长城是新建的,"洛带古镇的'长城'为近年新建仿古建筑，非历史遗迹。期望值不要太高，重点是客家文化。",low
41,交通避坑,地铁优先于打车,春熙路到宽窄巷子打车堵30分钟，地铁2号线仅10分钟。高峰期市区出行首选地铁，省钱省时。,high
42,交通避坑,警惕出租车绕路,机场到市区要求打表，拒绝一口价。用高德地图实时看路线，发现绕路当场指出并投诉。,high
43,交通避坑,景区直通车别坐黑车,熊猫基地门口有正规景区直通车，认准‘成都景区直通车’标志。黑车报价高且可能中途甩客。,high
44,交通避坑,打车定位选地标,宽窄巷子打车别定‘宽窄巷子’入口，司机常停错。改定‘井巷子东口’或‘长顺上街’更准确。,medium
45,交通避坑,共享单车限行区注意,天府广场、春熙路部分区域禁停共享单车，乱停收调度费。骑行前看P点，还车务必入框。,medium
46,交通避坑,地铁末班车时间掌握,成都地铁末班车多在23:00左右，但2号线犀浦方向有时22:50就停。夜游锦里后提前查好末班时间。,high
47,交通避坑,锦里门口三轮车坑人,锦里门口三轮车报价30元去武侯祠，实际步行5分钟。坐前先导航，超过起步价直接拒绝。,high
48,交通避坑,机场地铁比大巴快,双流机场T2坐地铁10号线直达市区，比机场大巴快20分钟。天府机场则用18号线，别打黑车。,medium
49,交通避坑,火锅店排队别坐野的,网红火锅店排队2小时，门口‘野的’喊价去下一家。其实步行200米就有同品牌分店，导航即可。,low
50,交通避坑,熊猫基地回程车别乱上,熊猫基地西门出来，只坐有线路牌的景区车或网约车。私家车拉客常去购物点，浪费时间。,high
51,交通避坑,夜宵摊打车加价陷阱,建设路夜市深夜打车，部分司机要求加价。坚持平台叫车，不加价不议价，否则投诉。,medium
52,交通避坑,住宿选地铁口别选景区,住春熙路贵且吵，打车难。选地铁2/4号线沿线如骡马市、中医大省医院站，性价比高且出行方便。,medium
53,消费避坑,地铁首选，避开打车堵,成都地铁覆盖景点广，早晚高峰打车堵到怀疑人生。下载天府通App扫码乘车，比买票快。,high
54,消费避坑,景区直通车别坐黑车,武侯祠、熊猫基地门口有正规景区直通车，认准官方二维码购票。路边拉客的‘野的’价格翻倍且绕路。,high
55,消费避坑,宽窄巷子只逛不吃,宽窄巷子小吃又贵又一般，本地人都在隔壁奎星楼街吃。逛完步行5分钟，味道正宗价格省一半。,high
56,消费避坑,火锅店看本地人密度,别信网红店排队，去居民区楼下看哪家坐满本地人。点微辣，蘸碟要原汤+香油+蒜泥，别被推荐‘特色油碟’加钱。,high
57,消费避坑,熊猫基地赶早不赶晚,早上7点半开园就冲月亮产房，9点后熊猫睡觉+人挤人。别在门口买玩偶，里面官方店同款便宜30%。,high
58,消费避坑,打车用平台，不坐机场拉客,双流/天府机场出来别理举牌拉客的，直接滴滴或高德。机场出租车排队区可能不打表，一口价坑外地人。,high
59,消费避坑,人民公园喝茶防‘采耳’加价,鹤鸣茶社喝茶明码标价，但采耳师傅会先问‘要不要洗耳’，洗一下额外收50。提前说‘只采不洗’，并确认总价。,medium
60,消费避坑,锦里买东西先搜淘宝,锦里卖的手工银饰、蜀绣小件，淘宝同款便宜70%。真要买，砍价照标价3折起，老板不卖就走。,medium
61,消费避坑,住宿选地铁2号线沿线,别住春熙路核心区，贵且吵。选2号线沿线如东门大桥、牛市口，去景点都方便，房价便宜一半。,medium
62,消费避坑,杜甫草堂门口‘免费导游’是托,有人自称工作人员免费讲解，实际拉你去隔壁‘书法馆’买高价字画。直接拒绝，租电子讲解器15元。,high
63,消费避坑,川剧变脸看戏前问清场次,芙蓉国粹等剧场分时段，别买黄牛票。提前在官方公众号买甲票，座位靠前。路边‘茶馆变脸’含强制最低消费。,medium
64,消费避坑,路边‘掏耳朵’看工具消毒,公园或景区路边采耳摊，很多不换新工具。要求看一次性耳勺，否则易感染。正规店采耳价格60-80，低于30别去。,medium
65,季节避坑,夏避闷热雨,7-8月午后常暴雨，上午游户外，下午转室内；随身带伞，穿速干衣，别去山区看‘海’。,high
66,季节避坑,冬防湿冷魔法,12-2月湿冷入骨，北方暖气房别住；选空调+电热毯民宿，穿羽绒内搭抓绒，鞋要防滑。,high
67,季节避坑,春秋旺季抢票,3-4月、9-11月游客爆满，熊猫基地/都江堰提前3天订票，早7点前到门口排队最省时。,high
68,季节避坑,地铁避开早高峰,工作日8:00-9:30、17:30-19:00，1/2号线挤到爆，带行李改乘网约车，别硬挤。,medium
69,季节避坑,打车认准机场南站,天府机场T2打车排队久，去市区选地铁18号线快线；双流机场直接网约车到东站更划算。,medium
70,季节避坑,火锅店看本地人,景区旁网红店又贵又淡，去玉林/抚琴巷子，看门口排队本地人多的店，点微辣锅底。,high
71,季节避坑,住宿选一环内地铁口,别住春熙路商圈，贵且吵；住骡马市或牛王庙地铁旁，200-300元/晚，去景点都方便。,medium
72,季节避坑,购物警惕景区银饰,宽窄巷子/锦里卖的‘手工银’，很多是合金，要买去琴台路正规店，认准足银钢印。,high
73,季节避坑,雨天看大熊猫,熊猫喜凉怕热，夏天高温时只在室内；若遇大雨，部分室外区关闭，提前看官方直播再出发。,medium
74,季节避坑,夜游锦江防堵车,周末晚上合江亭一带堵死，别打车，骑共享单车沿江走，或坐地铁到东门大桥步行。,low
75,人流避坑,地铁避开春熙路站,春熙路站早晚高峰及节假日人流爆满，建议在2号线牛王庙站或4号线市二医院站下车步行前往，省时省力。,high
76,人流避坑,熊猫基地赶早7点半,看花花（和花）必须7:30前到南门排队，8点后入园排队超1小时，且熊猫天热就回空调房，晚了只能看空房。,high
77,人流避坑,别在锦里吃小吃,锦里小吃价格翻倍且不正宗，游客多到走不动。建议逛完拍拍照，去隔壁武侯祠大街或肖家河吃本地馆子。,high
78,人流避坑,打车用平台别拦出租,春熙路、宽窄巷子附近出租车挑客拒载严重，用滴滴/高德打快车，定位到辅道或酒店门口，避免景区正门拥堵。,medium
79,人流避坑,宽窄巷子只逛不买,巷子里的掏耳朵、变脸拍照、纪念品全是坑，价格离谱。真要体验掏耳朵，去人民公园鹤鸣茶社，20元正规舒服。,medium
80,人流避坑,火锅避开网红连锁,奎星楼街、建设路的网红店排队2小时起，味道平庸。去玉林路或双楠小区，找本地人排队的苍蝇馆子，人均少一半。,high
81,人流避坑,都江堰别报一日游,旅游团大巴停远门，带你走马观花还进购物店。自己坐2号线到犀浦，换城际高铁30分钟到离堆公园站，步行5分钟进景区。,high
82,人流避坑,住宿别选太升南路,太升南路、火车北站附近酒店便宜但环境乱，晚上不安全。选地铁2/4号线沿线如骡马市、中医大省医院站，性价比高又方便。,medium
83,人流避坑,看变脸去蜀风雅韵,别在景区看免费变脸（推销字画）。提前在“蜀风雅韵”公众号买票，选丙区或乙区，80-150元，演出正宗不坑。,medium
84,人流避坑,周一闭馆景点清单,金沙遗址、武侯祠、杜甫草堂、四川博物院周一闭馆，别白跑。提前查“成都文旅”小程序确认当日开放，合理安排行程。,high
85,文化禁忌,地铁勿抢门，先下后上,成都地铁高峰期人流量大，抢门易被夹且引发冲突。请站在两侧排队，待下车乘客走完再上车。,medium
86,文化禁忌,打车别坐黑车，用平台,机场、火车站出口常有拉客黑车，价格虚高且不安全。务必用滴滴或高德等正规平台，上车前核对车牌。,high
87,文化禁忌,景区看熊猫，勿投食喧哗,熊猫基地内严禁投喂自带食物，大声喊叫会惊扰熊猫。请保持安静，用手机静音拍照，不翻越护栏。,high
88,文化禁忌,火锅店点菜，慎选重辣,成都本地微辣也可能很辣，外地游客建议先点鸳鸯锅。若肠胃敏感，随身带肠胃药，避免空腹吃辣。,medium
89,文化禁忌,茶馆坐竹椅，勿乱动盖碗,在人民公园鹤鸣茶社，盖碗茶喝完后，将盖子斜放表示续水，勿直接拿走或敲碗，这是川西茶俗。,low
90,文化禁忌,住宿选区域，避开城中村,春熙路、宽窄巷子附近酒店方便但贵；别贪便宜订城郊或城中村民宿，交通不便且夜间治安一般。,medium
91,文化禁忌,购物看标价，谨防景区坑,锦里、宽窄巷子的小吃和纪念品价格偏高，买前问清按斤还是按份。银饰、蜀绣等请认准正规店，勿信路边推销。,medium
92,文化禁忌,公交或单车，勿逆行占道,成都部分街道非机动车道较窄，共享单车多。请靠右骑行，不逆行不载人，过街走斑马线，避免被交警罚款。,low
93,安全提醒,地铁扫码防尾随,过闸机时留意身后，防止他人紧贴蹭刷。若手机扫码失败，退到旁边重新操作，勿堵通道。,medium
94,安全提醒,打车认准官方平台,只通过正规APP叫车，拒坐揽客黑车。上车核对车牌与订单一致，行程分享给亲友。,high
95,安全提醒,景区门票官方买,提前在官方公众号或OTA平台购票，勿信黄牛低价票。扫码入园前确认票面日期和场次。,high
96,安全提醒,大熊猫基地别逗猫,参观时保持安静，不投喂、不拍打玻璃、不跨越围栏。自拍杆勿伸入围栏，防抓咬。,high
97,安全提醒,火锅店防油溅烫伤,下菜时先夹起再轻放，勿站锅边倒菜。小孩坐内侧，远离沸腾红油。若溅到，立刻用冷水冲并就医。,high
98,安全提醒,住宿选正规酒店,优先连锁或评分4.5以上酒店，入住检查门锁猫眼和逃生图。勿住无证民宿，尤其深夜抵达时。,medium
99,安全提醒,购物先问价再消费,景区周边特产、采耳、拍照先询价并确认总价。付款前看清计量单位，防‘一两’变‘一斤’陷阱。,medium
100,安全提醒,随身财物防盗抢,春熙路、宽窄巷子等人多处，背包前置，手机挂绳。夜间避免走僻静小巷，财不外露。,high
101,文化提醒,巴适安逸要得懂,“巴适”=舒服，“安逸”=享受，“要得”=好的/行。游客可用“巴适得很”夸美食，对方会心一笑。,medium
102,文化提醒,盖碗茶盖有暗语,茶盖斜放碗沿，表示需续水，堂倌会主动加。若全盖上，表示不喝了；勿把盖翻扣桌面，那是挑衅。,high
103,文化提醒,喝茶先学叩指礼,别人倒茶时，用食指中指轻叩桌面两下，表感谢。不叩指会被视为无礼，尤其对长辈或主人。,medium
104,文化提醒,麻将可看勿多嘴,成都茶馆多麻将桌，可旁观但别指手画脚或碰牌。输赢是娱乐，问“赢多少”不礼貌。,medium
105,文化提醒,火锅油碟是灵魂,油碟=香油+蒜泥+香菜+蚝油，解辣增香；干碟=辣椒面+花椒面，蘸肉吃；原汤碟=火锅汤底+葱蒜，最重口。先试油碟。,high
106,文化提醒,涮菜顺序有讲究,先涮毛肚鸭肠，七上八下即熟；再涮肉，后下蔬菜，最后煮土豆粉条。别一锅乱炖，会串味。,medium
107,文化提醒,火锅汤底勿直接喝,红汤是牛油+香料+辣椒熬制，直接喝伤胃且过咸。要喝汤请点鸳鸯白锅，或用原汤碟少量蘸食。,high
108,文化提醒,川剧变脸非魔术,变脸是川剧绝活，靠扯线+脸谱，演员台下苦练十年。观看时勿站台前或试图揭幕，尊重艺术。,high
109,文化提醒,看戏鼓掌有节奏,川剧表演中，精彩处可大声叫“好！”或鼓掌，但别在演员亮相时吹口哨，那是喝倒彩。,low
110,文化提醒,蜀绣勿上手触摸,蜀绣作品极精细，针脚比头发丝细。在博物馆或店里，只可看不可摸，指纹汗渍会损伤丝线。,medium
111,文化提醒,蜀锦是历史名片,蜀锦已有两千年，成都简称“锦官城”由此而来。买蜀锦认准真丝手工，机织仿品不值高价。,low
112,文化提醒,漆器轻拿又轻放,成都漆器用天然大漆，胎体易裂。观赏时一手托底一手扶口，别单手拎耳，会断。,medium
113,文化提醒,武侯祠先拜诸葛亮,武侯祠是君臣合祀，刘备殿在前，孔明殿在后。进门先拜刘备以示尊卑，再瞻仰诸葛亮，别搞反。,medium
114,文化提醒,锦里红灯笼勿乱摘,锦里挂的红灯笼是民俗装饰，别用手摇晃或试图摘取，摊主会不高兴。拍照可以，别碰。,low
115,文化提醒,赶场体验要趁早,成都周边乡镇逢单双号“赶场”（集市日），早上6-10点最热闹。去晚了摊收完，且别讨价还价太狠，农民实诚。,low
116,文化提醒,坝坝宴吃席守规矩,坝坝宴（露天流水席）坐定后别急着动筷，等主人举杯喊“开席”。夹菜用公筷，剩菜可打包不丢人。,medium
117,文化提醒,成都节奏慢别催,当地人吃饭、喝茶、走路都慢悠悠。催服务员“快点”会遭白眼，不如说“麻烦你空了帮我上”。,medium
118,文化提醒,待客之道是添茶,去成都人家里做客，主人给你续茶，你要双手接杯。若你喝完了，把杯盖斜放，主人会主动倒。,medium
119,文化提醒,说“摆龙门阵”,“摆龙门阵”=聊天吹牛。想融入当地，就说“来摆会儿龙门阵嘛”，比说“聊天”更亲切。,low
120,文化提醒,吃兔头别嫌残忍,成都人爱吃兔头，是传统小吃。若不敢吃，别当面说“恶心”，可婉拒“我吃不来”。尊重饮食差异。,medium
121,文化提醒,甜水面别搅太久,甜水面酱料浓稠，拌匀后立即吃，放久了面条发硬。用筷子卷着吃，别用刀叉。,low
122,文化提醒,掏耳朵先问价,公园里掏耳朵师傅，先问清价格（一般30-60元），再坐下。掏耳时别动，采耳工具消毒过，放心。,high
123,文化提醒,太阳出来抢茶馆,成都出太阳，茶馆瞬间满座。别觉得“凭什么拼桌”，主动问“这儿有人吗？”坐下就是朋友。,low
124,文化提醒,三国故事别乱讲,在武侯祠或锦里，别把刘备说成“卖草鞋的”开玩笑，成都人敬重蜀汉正统，认真听讲解即可。,medium
125,文化提醒,川菜辣度可商量,点菜时说“老板，少辣/微辣”，不会被视为怂。成都人自己也怕辣，只是爱香。别硬撑说“随便辣”。,high
126,美食避坑,夫妻肺片别点景区版,总府路夫妻肺片总店小份38元，景区卖68元还全是边角料。认准红油透亮、牛肉牛肚各半，先拌后吃。,high
127,美食避坑,担担面要干拌非汤面,正宗的担担面无汤，芽菜肉臊+花生碎+红油。人民公园旁'担担面总店'12元，景区汤面版纯坑游客。,high
128,美食避坑,钟水饺看蒜泥红油,荔枝巷钟水饺总店，水饺小份10元6个，蒜泥浓稠带甜。景区卖15元还加青菜，不正宗。,medium
129,美食避坑,龙抄手吃原汤别点红油,春熙路龙抄手总店，原汤抄手15元皮薄如纱。景区双拼28元是速冻货，汤鲜才是灵魂。,high
130,美食避坑,麻婆豆腐要烫嘴才正宗,陈麻婆豆腐总店，麻婆豆腐18元，豆腐嫩而不碎，花椒面现撒，端上桌还在咕嘟冒泡。,high
131,美食避坑,回锅肉选蒜苗五花肉,苍蝇馆子'明婷饭店'回锅肉28元，肉片卷曲灯盏窝。景区用二刀肉不煸干，豆瓣酱发苦。,medium
132,美食避坑,口水鸡要红油浸透,玉林'王妈手撕烤兔'旁口水鸡20元/半只，鸡肉斩块浸红油，皮脆肉嫩。景区卖35元是白砍鸡淋辣油。,medium
133,美食避坑,钵钵鸡荤素签价分开算,乐山鲜知味钵钵鸡，荤签2元素签1元，藤椒味更清爽。景区按串不分荤素5元一串，坑。,high
134,美食避坑,甜水面要筷子粗有嚼劲,洞子口张老二凉粉，甜水面8元一碗，面条手工搓制，酱料甜辣平衡。景区卖的细面是冒牌。,high
135,美食避坑,蛋烘糕现烤脆边才买,贺记蛋烘糕，奶油肉松5元，边脆内软。景区预烤的冷蛋烘糕3元一个，软塌塌没灵魂。,low
136,美食避坑,三大炮趁热吃别拍照,锦里三大炮10元3个，现打现裹黄豆粉。景区凉了硬邦邦，还要20元，纯表演坑。,medium
137,美食避坑,肥肠粉要红薯粉现打,白家肥肠粉总店，小份12元，粉条透明有韧劲，肥肠干净无腥。景区用干粉泡发，汤底是勾兑。,high
138,美食避坑,军屯锅盔认准千层酥,王记特色锅盔，猪肉锅盔8元，现烤掉渣，肉馅花椒香。景区卖的厚饼夹凉菜，根本不是军屯锅盔。,medium
139,美食避坑,叶儿粑分甜咸别乱买,新都'叶儿粑世家'咸味4元甜味3元，咸馅芽菜肉末，甜馅红糖芝麻。景区统一5元还是冷藏回蒸的。,low
140,美食避坑,赖汤圆只吃黑芝麻芯,总府路赖汤圆总店，6个8元，黑芝麻猪油芯流沙状。景区卖混合水果馅，还加色素。,medium
141,美食避坑,甜皮鸭认准乐山本地,甜皮鸭去乐山纪六孃，半只35元，皮脆糖亮，肉紧不柴。成都景区卖48元是卤鸭刷糖浆。,high
142,美食避坑,冒烤鸭要现冒现切,曹家巷'冒烤鸭'，半只加素菜30元，鸭肉在卤汤里冒热再切。景区用冷烤鸭微波加热，皮软肉柴。,medium
143,美食避坑,冷吃兔选自贡盐帮味,自贡'冷吃兔'真空包装25元/袋，兔肉干香辣味足。景区散装18元但全是骨头，辣椒比肉多。,high
144,美食避坑,酸辣豆花要配酥黄豆,小谭豆花，酸辣豆花7元，豆花嫩滑，酸辣开胃，酥黄豆是灵魂。景区卖10元还加榨菜丁，不正宗。,low
145,美食避坑,景区美食街只逛不吃,宽窄巷子锦里小吃均价翻倍，本地人都在奎星楼街、建设路。同款蛋烘糕景区5元，建设路3元。,high
146,美食避坑,看菜牌分本地价外宾价,部分老店菜单有两张，本地人一张游客一张。点菜前直接问'本地价好多'，或看墙上手写价。,high
147,美食避坑,早去老店避开旅游团,陈麻婆、龙抄手等总店，11点前到不排队且是现做。12点后旅游团涌入，出菜快但全是预制。,medium
148,美食避坑,点单说'小份'更地道,成都小吃小份即标准份，大份是给游客的加量版。小份更能尝到原味，价格差一倍。,low
149,美食避坑,别信'最正宗'招牌,满街都是'老字号总店'，认准门头有'XX总府路店'或查大众点评分。景区门口挂'百年老店'多是新开。,high
150,美食避坑,自带纸巾和零钱,老店不提供免费纸巾，酸辣粉店找零常用硬币。景区店强制消费纸巾2元一包，本地店可退。,low
151,景点安排,三星堆预约与导览,必须提前3天在公众号抢票，现场无票。租讲解器（30元）或请导游，否则青铜馆走马观花。至少留4小时。,high
152,景点安排,西岭雪山季节错峰,12-2月滑雪季周末人挤人，建议平日早8点到。索道票提前买往返，单程排队超1小时。非雪季别去，只有光秃秃山。,high
153,景点安排,峨眉山金顶观日出,看日出需住雷洞坪或金顶，凌晨4点起。提前查天气，阴雨天白跑。金顶风大租大衣，别带伞。,high
154,景点安排,峨眉山猴群防抢,猴区勿手提塑料袋、背包拉链拉好，登山杖举高。猴子会抢眼镜和手机，食物藏内袋。被抢别追，认栽。,high
155,景点安排,乐山大佛游船vs爬山,带老人小孩选游船（1小时看全貌），体力好爬山（下栈道单程排队1.5小时）。节假日建议早8点前到北门。,medium
156,景点安排,蜀南竹海自驾路线,景区大且分散，自驾最方便，但山路弯多，新手慎开。最佳季节4-5月或9-10月，夏季闷热蚊虫多。,medium
157,景点安排,海螺沟冰川与高反,海拔3000+，提前喝红景天。冰川步道湿滑穿防滑鞋，别靠近冰裂缝。泡温泉选二号营地，别在冰川上久留。,high
158,景点安排,毕棚沟红叶季拥挤,10月中-11月初红叶最美，但周末车堵到景区外。必须早7点入园，买电瓶车票（徒步太远），带氧气瓶。,medium
159,景点安排,稻城亚丁长线vs短线,长线（牛奶海）需全天徒步+骑马，体力差选短线（珍珠海）。提前适应高反，带便携氧气。别逞强，晚上住香格里拉镇。,high
160,景点安排,平乐古镇避雷,古镇免费，但别在节假日去，停车难。核心区商业味浓，建议沿白沫江走外围。吃奶汤面选老店，别信拉客的。,low
161,景点安排,上里古镇小众玩法,比平乐更安静，建议住一晚。二仙桥和古戏台必看，但别买路边假古董。雨季河水涨，别下河。,low
162,景点安排,安仁古镇电车与馆,安仁有轨电车值得坐，但班次少。建川博物馆需一整天，选重点馆（抗战、文革）。刘氏庄园与博物馆分开售票。,medium
163,景点安排,建川博物馆时间管理,30+场馆不可能全逛，按兴趣挑4-5个。周一闭馆，下午4点停止入场。穿舒服鞋，走断腿。,medium
164,景点安排,刘氏庄园讲解价值,不请讲解就是看房子，请导游（80元）才能听懂收租院故事。参观约2小时，结合建川博物馆安排同一天。,medium
165,景点安排,极地海洋公园表演时间,提前在公众号查当日白鲸/海豚表演时刻，提前30分钟占座。周末人多，建议工作日去。别买门口黄牛票。,medium
166,景点安排,欢乐谷避开周末,周末热门项目排队2小时+，工作日去。下载官方APP看实时排队。夏天玩水带换洗衣物，存包贵。,medium
167,景点安排,国色天乡选园策略,分陆地乐园和水上乐园，别买错票。陆地适合亲子，水上夏季才开。夜场票便宜但项目少，看准时间。,low
168,景点安排,都江堰青城山联游,都江堰从离堆公园进，走安澜索桥。青城山前山道观多，后山自然美。两地分两天，一天太赶。,medium
169,景点安排,熊猫基地看猫时间,早上7:30开门直奔月亮产房，9点后熊猫睡觉。节假日人山人海，建议住基地附近。别摸熊猫，隔玻璃拍。,high
170,景点安排,成都市区火锅避坑,网红店（小龙坎等）排队3小时，找社区老店（如骡马市附近）。微辣已是极限，外地人先点鸳鸯锅。,low
171,景点安排,宽窄巷子锦里消费,逛免费，但里面小吃贵且一般。掏耳朵30元体验可以，别买银饰和茶叶。拍照清晨去，晚上人挤人。,low
172,景点安排,九寨沟黄龙高反,黄龙海拔3500+，九寨沟2000+。去黄龙前在川主寺适应一晚，带氧气瓶。景区内别跑跳，慢慢走。,high
173,景点安排,四姑娘山三条沟选择,双桥沟最轻松（全程观光车），长坪沟徒步需半天，海子沟专业登山。新手只去双桥沟，海拔高注意高反。,medium
174,景点安排,西岭雪山住宿建议,要滑雪住山脚花水湾，泡温泉方便。要看日出住山顶（贵且冷）。别住半山腰，索道停运就困住了。,medium
175,景点安排,成都交通避堵指南,市内地铁最靠谱，打车高峰堵死。去周边景区选旅游直通车（宽窄巷子出发）。自驾避开周五晚和节假日上午。,high
176,住宿避坑,春熙路贵且吵,春熙路/太古里酒店普遍500+，夜店酒吧噪音大，临街房凌晨2点仍吵，选内侧房或直接避开。,high
177,住宿避坑,宽窄巷子溢价高,宽窄巷子周边民宿常挂400-800，实际隔音差，楼下游客到23点，建议住隔壁奎星楼街便宜200。,high
178,住宿避坑,天府广场中转选,天府广场适合赶早班车/高铁，地铁1/2号线交汇，房价300-500，但早晚高峰电梯排队久，选低楼层。,medium
179,住宿避坑,骡马市性价比王,骡马市地铁2/4号线换乘，200-350元住准四星，离春熙路2站，晚上安静，适合预算有限。,low
180,住宿避坑,牛王庙吃住双赢,牛王庙2号线旁，人均150-300，楼下全是苍蝇馆子，但部分老楼无电梯，订前确认楼层。,medium
181,住宿避坑,玉林路文艺但旧,玉林路小酒馆周边民宿300-500，装修文艺但管道老，热水不稳定，洗澡前先放水5分钟。,medium
